data lankinen	degN	degE	CDL	SE for CDL	b parameter	offs	Nmethod
Pelkosenniemi	67.1N	27.3E	18.63	0.14	32.68	100	other
Pelkosenniemi	67.1N	27.3E	19.55	0.15	29.06	100	other
Pelkosenniemi	67.1N	27.3E	18.37	0.12	57.08	100	other
Pelkosenniemi	67.1N	27.3E	19.36	0.13	41.47	100	other
Pelkosenniemi	67.1N	27.3E	19.45	0.15	31.23	100	other
Pelkosenniemi	67.1N	27.3E	19.55	0.16	28.31	100	other
Pelkosenniemi	67.1N	27.3E	19.51	0.18	20.11	100	other
Pelkosenniemi	67.1N	27.3E	19.47	0.13	44.81	100	other
Pelkosenniemi	67.1N	27.3E	18.74	0.15	28.76	100	other
Pelkosenniemi	67.1N	27.3E	18.23	0.14	33.02	100	other
Pelkosenniemi	67.1N	27.3E	18.61	0.12	51.47	100	other
Pelkosenniemi	67.1N	27.3E	19.3	0.16	27.68	100	other
Pelkosenniemi	67.1N	27.3E	18.71	0.11	52.79	100	other
Pelkosenniemi	67.1N	27.3E	19.28	0.14	35.18	100	other
Oulanka	66.4N	29.2E	19.23	0.12	48.27	100	other
Oulanka	66.4N	29.2E	19.44	0.13	81.1	100	other
Oulanka	66.4N	29.2E	18.17	0.18	19.66	100	other
Oulanka	66.4N	29.2E	19.78	0.17	25.27	100	other
Oulanka	66.4N	29.2E	19.26	0.13	38.11	100	other
Oulanka	66.4N	29.2E	19.84	0.18	21.59	100	other
Oulanka	66.4N	29.2E	16.34	0.32	11.33	100	other
Oulanka	66.4N	29.2E	21.26	0.14	39.8	100	other
Oulanka	66.4N	29.2E	18.15	0.16	90.09	100	other
Oulanka	66.4N	29.2E	19.88	0.12	43.64	100	other
Oulanka	66.4N	29.2E	17.9	0.15	37.41	100	other
Oulanka	66.4N	29.2E	18.91	0.17	23.79	100	other
Oulanka	66.4N	29.2E	18.84	0.12	45.26	100	other
Oulanka	66.4N	29.2E	18.95	0.15	30.84	100	other
Oulanka	66.4N	29.2E	18.72	0.16	25.8	100	other
Oulanka	66.4N	29.2E	19.28	0.12	44.19	100	other
Oulanka	66.4N	29.2E	19.22	0.18	20.81	100	other
Oulanka	66.4N	29.2E	19.47	0.13	44.29	100	other
Oulanka	66.4N	29.2E	19.34	0.14	37.33	100	other
Oulanka	66.4N	29.2E	19.75	0.16	27.25	100	other
Oulanka	66.4N	29.2E	19.61	0.14	37.78	100	other
Oulanka	66.4N	29.2E	19.91	0.16	25.7	100	other
Oulanka	66.4N	29.2E	19.26	0.16	25.68	100	other
Oulanka	66.4N	29.2E	19.04	0.16	25.92	100	other
Oulanka	66.4N	29.2E	20.27	0.17	24.89	100	other
Oulanka	66.4N	29.2E	17.91	0.13	37.29	100	other
Oulanka	66.4N	29.2E	19.74	0.15	33.04	100	other
Oulanka	66.4N	29.2E	18.85	0.14	35.87	100	other
Oulanka	66.4N	29.2E	19.1	0.18	21.63	100	other
Oulanka	66.4N	29.2E	19.53	0.13	38.85	100	other
Oulanka	66.4N	29.2E	19.78	0.17	24.38	100	other
Oulanka	66.4N	29.2E	20.19	0.18	23	100	other
Oulanka	66.4N	29.2E	18.53	0.15	29.83	100	other
Oulanka	66.4N	29.2E	19.61	0.27	11.06	100	other
Oulanka	66.4N	29.2E	20.59	0.21	17.78	100	other
Oulanka	66.4N	29.2E	20.13	0.2	20.12	100	other
Oulanka	66.4N	29.2E	18.57	0.16	24.45	100	other
Oulanka	66.4N	29.2E	18.23	0.16	25.59	100	other
Oulanka	66.4N	29.2E	18.84	0.16	28.98	100	other
Oulanka	66.4N	29.2E	20.25	0.19	21.81	100	other
Oulanka	66.4N	29.2E	19.76	0.15	29.12	100	other
Oulanka	66.4N	29.2E	18.51	0.19	17.91	100	other
