PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Chaves, LF; Jian, JY; Moji, K				Chaves, Luis Fernando; Jian, Jiun-Yu; Moji, Kazuhiko			Overwintering in the Bamboo Mosquito Tripteroides bambusa (Diptera: Culicidae) During a Warm, But Unpredictably Changing, Winter	ENVIRONMENTAL ENTOMOLOGY																	Jian, Jiun-Yu/0000-0002-5767-8803; Chaves, Luis Fernando/0000-0002-5301-2764					0	0						0046-225X	1938-2936				FEB	2018	47	1					148	158		10.1093/ee/nvx187								WOS:000424914000019	29293910					
J	Nokelainen, O; van Bergen, E; Ripley, BS; Brakefield, PM				Nokelainen, Ossi; van Bergen, Erik; Ripley, Brad S.; Brakefield, Paul M.			Adaptation of a tropical butterfly to a temperate climate	BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY																	Nokelainen, Ossi/0000-0002-0278-6698					0	0						0024-4066	1095-8312				FEB	2018	123	2					279	289		10.1093/biolinnean/blx145								WOS:000423313000002						
J	Ehl, S; Dalstein, V; Tull, F; Gros, P; Schmitt, T				Ehl, Stefan; Dalstein, Vivian; Tull, Fabienne; Gros, Patrick; Schmitt, Thomas			Specialized or opportunistic-how does the high mountain endemic butterfly Erebia nivalis survive in its extreme habitats?	INSECT SCIENCE																						0	0						1672-9609	1744-7917				FEB	2018	25	1					161	171		10.1111/1744-7917.12400								WOS:000423106500015	27628710					
J	Kivela, SM; Friberg, M; Wiklund, C; Gotthard, K				Kivela, Sami M.; Friberg, Magne; Wiklund, Christer; Gotthard, Karl			Adaptive developmental plasticity in a butterfly: mechanisms for size and time at pupation differ between diapause and direct development	BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY																						0	0						0024-4066	1095-8312				SEP	2017	122	1					46	57		10.1093/biolinnean/blx047								WOS:000409213700004						
J	Lehmann, P; Van der Bijl, W; Nylin, S; Wheat, CW; Gotthard, K				Lehmann, Philipp; Van der Bijl, Wouter; Nylin, Soren; Wheat, Christopher W.; Gotthard, Karl			Timing of diapause termination in relation to variation in winter climate	PHYSIOLOGICAL ENTOMOLOGY																	van der Bijl, Wouter/0000-0002-7366-1868					2	2						0307-6962	1365-3032				SEP	2017	42	3					232	238		10.1111/phen.12188								WOS:000409281600005						
J	Ragland, GJ; Keep, E				Ragland, Gregory J.; Keep, Evan			Comparative transcriptomics support evolutionary convergence of diapause responses across Insecta	PHYSIOLOGICAL ENTOMOLOGY																						2	2						0307-6962	1365-3032				SEP	2017	42	3					246	256		10.1111/phen.12193								WOS:000409281600007						
J	Pruisscher, P; Larsdotter-Mellstrom, H; Stefanescu, C; Nylin, S; Wheat, CW; Gotthard, K				Pruisscher, Peter; Larsdotter-Mellstrom, Helena; Stefanescu, Constanti; Nylin, Soren; Wheat, Christopher W.; Gotthard, Karl			Sex-linked inheritance of diapause induction in the butterfly Pieris napi	PHYSIOLOGICAL ENTOMOLOGY																	Pruisscher, Peter/0000-0002-6987-5839; Larsdotter Mellstrom, Helena/0000-0001-7104-1406					2	2						0307-6962	1365-3032				SEP	2017	42	3					257	265		10.1111/phen.12194								WOS:000409281600008						
J	Schroeder, M; Dalin, P				Schroeder, Martin; Dalin, Peter			Differences in photoperiod-induced diapause plasticity among different populations of the bark beetle Ips typographus and its predator Thanasimus formicarius	AGRICULTURAL AND FOREST ENTOMOLOGY																						1	1						1461-9555	1461-9563				MAY	2017	19	2					146	153		10.1111/afe.12189								WOS:000403024600005						
J	Zhang, JJ; Desneux, N; Benelli, G; Zang, LS; Du, WM; Ruan, CC				Zhang, Jun-Jie; Desneux, Nicolas; Benelli, Giovanni; Zang, Lian-Sheng; Du, Wen-Mei; Ruan, Chang-Chun			Geographic Variation of Diapause Induction Rates in Trichogramma drendrolimi (Hymenoptera: Trichogrammatidae) in China	JOURNAL OF ECONOMIC ENTOMOLOGY																						1	1						0022-0493	1938-291X				APR	2017	110	2					386	391		10.1093/jee/tow316								WOS:000401468700009	28334137					
J	Mathur, V; Schmidt, PS				Mathur, Vinayak; Schmidt, Paul S.			Adaptive patterns of phenotypic plasticity in laboratory and field environments in Drosophila melanogaster	EVOLUTION																						0	0						0014-3820	1558-5646				FEB	2017	71	2					465	474		10.1111/evo.13144								WOS:000394985200022	27925178					
J	Bonte, J; Musolin, DL; Conlong, D; De Clercq, P				Bonte, Jochem; Musolin, Dmitry L.; Conlong, Des; De Clercq, Patrick			Diapause and winter survival of two Orius species from southern Africa	BIOCONTROL																Musolin, Dmitry/L-6801-2013	Musolin, Dmitry/0000-0002-3913-3674; De Clercq, Patrick/0000-0003-0664-1602					0	0						1386-6141	1573-8248				OCT	2016	61	5					519	532		10.1007/s10526-016-9730-7								WOS:000383611300006						
J	Kivela, SM; Valimaki, P; Gotthard, K				Kivela, Sami M.; Valimaki, Panu; Gotthard, Karl			Evolution of alternative insect life histories in stochastic seasonal environments	ECOLOGY AND EVOLUTION																Gotthard, Karl/F-1163-2011						4	4						2045-7758					AUG	2016	6	16					5596	5613		10.1002/ece3.2310								WOS:000381578400004	27547340					
J	Reis, M; Valer, FB; Vieira, CP; Vieira, J				Reis, Micael; Valer, Felipe B.; Vieira, Cristina P.; Vieira, Jorge			Drosophila americana Diapausing Females Show Features Typical of Young Flies	PLOS ONE																Vieira, Jorge/J-7477-2013; Vieira, Cristina/K-1775-2013	Vieira, Jorge/0000-0001-7032-5220; Vieira, Cristina/0000-0002-7139-2107					2	2						1932-6203					SEP 23	2015	10	9							e0138758	10.1371/journal.pone.0138758								WOS:000361797500102	26398836					
J	Kivela, SM; Svensson, B; Tiwe, A; Gotthard, K				Kivela, Sami M.; Svensson, Beatrice; Tiwe, Alma; Gotthard, Karl			Thermal plasticity of growth and development varies adaptively among alternative developmental pathways	EVOLUTION																Gotthard, Karl/F-1163-2011	Kivela, Sami/0000-0002-6844-9168; Gotthard, Karl/0000-0002-4560-6271					4	4						0014-3820	1558-5646				SEP	2015	69	9					2399	2413		10.1111/evo.12734								WOS:000362964700012	26202579					
J	Andersen, JL; MacMillan, HA; Overgaard, J				Andersen, Jonas L.; MacMillan, Heath A.; Overgaard, Johannes			Muscle membrane potential and insect chill coma	JOURNAL OF EXPERIMENTAL BIOLOGY																Overgaard, Johannes/I-7493-2013; MacMillan, Heath/J-6943-2012	MacMillan, Heath/0000-0001-7598-3273					14	14						0022-0949	1477-9145				AUG	2015	218	16					2492	2495		10.1242/jeb.123760								WOS:000359937300005	26089529					
J	Andersen, JL; MacMillan, HA; Overgaard, J				Andersen, Jonas Lembcke; MacMillan, Heath Andrew; Overgaard, Johannes			Temperate Drosophila preserve cardiac function at low temperature	JOURNAL OF INSECT PHYSIOLOGY																MacMillan, Heath/J-6943-2012; Overgaard, Johannes/I-7493-2013	MacMillan, Heath/0000-0001-7598-3273; 					5	6						0022-1910	1879-1611				JUN	2015	77						26	32		10.1016/j.jinsphys.2015.03.016								WOS:000355712200004	25871726					
J	Ryzhkova, MV; Lopatina, EB				Ryzhkova, M. V.; Lopatina, E. B.			Plasticity of the thermal developmental reaction norms in the european peacock butterfly Inachis io (Lepidoptera, Nymphalidae)	JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY																Lopatina, Elena/N-1084-2013	Lopatina, Elena/0000-0003-0267-5266					0	0						0022-0930	1608-3202				MAY	2015	51	3					222	234		10.1134/S0022093015030076								WOS:000358802200007						
