ID	perc	x	dl	degN	degE	N	offs	Nmethod
Tomakomai1	56.9		13	42.66666667	141.65	72	NA	accurate
Tomakomai1	2.2		14	42.66666667	141.65	45	NA	accurate
Tomakomai2	77.8		12	42.66666667	141.65	45	NA	accurate
Tomakomai2	49		13	42.66666667	141.65	51	NA	accurate
Tomakomai2	0		14	42.66666667	141.65	65	NA	accurate
Hirosaki1	86.5		13	40.6	140.45	52	NA	accurate
Hirosaki1	22.2		14	40.6	140.45	54	NA	accurate
Hirosaki2	97.8		12	40.6	140.45	45	NA	accurate
Hirosaki2	91.4		13	40.6	140.45	58	NA	accurate
Hirosaki2	22		14	40.6	140.45	50	NA	accurate
Ninohe	80.5		13	40.31666667	141.3	41	NA	accurate
Ninohe	8.7		14	40.31666667	141.3	46	NA	accurate
Akita	60.4		13	39.68333333	140.0833333	53	NA	accurate
Akita	16.7		14	39.68333333	140.0833333	48	NA	accurate
Hakuba	88		13	36.68333333	137.8333333	50	NA	accurate
Hakuba	5.5		14	36.68333333	137.8333333	55	NA	accurate
Kanazawa	52.2		12	36.55	136.65	46	NA	accurate
Kanazawa	27.8		13	36.55	136.65	54	NA	accurate
Kanazawa	0		14	36.55	136.65	45	NA	accurate
Ueda	53.8		12	36.4	138.2	52	NA	accurate
Ueda	45.3		13	36.4	138.2	53	NA	accurate
Ueda	0		14	36.4	138.2	47	NA	accurate
Tsukuba	86		12	36.03333333	140.1166667	57	NA	accurate
Tsukuba	45		13	36.03333333	140.1166667	40	NA	accurate
Tsukuba	5.8		14	36.03333333	140.1166667	52	NA	accurate
Ogi	53.2		11	33.25	130.1666667	62	NA	accurate
Ogi	28.6		12	33.25	130.1666667	56	NA	accurate
Ogi	7.3		13	33.25	130.1666667	55	NA	accurate
Ogi	0		14	33.25	130.1666667	59	NA	accurate
Ibusuki1	49.2		12	31.18333333	130.55	59	NA	accurate
Ibusuki1	36.2		13	31.18333333	130.55	58	NA	accurate
Ibusuki1	0		14	31.18333333	130.55	62	NA	accurate
Ibusuki2	56.3		12	31.18333333	130.55	64	NA	accurate
Ibusuki2	22.2		13	31.18333333	130.55	63	NA	accurate
