set,id,PY,region,pops_left,genus,spec,order,pop,degN,degE,nmethod,perc,n2,dl2,n_sloped,larger2sl
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Yongxiu,29.04,116.82,global average,72.4405687447,71.5,11,4,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Yongxiu,29.04,116.82,global average,43.491549514,71.5,12,4,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Yongxiu,29.04,116.82,global average,31.9938658502,71.5,13,4,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Yongxiu,29.04,116.82,global average,5.6694932914,71.5,14,4,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Yongxiu,29.04,116.82,global average,-0.1839176271,71.5,15,4,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Yongxiu,29.04,116.82,global average,0.1302705331,71.5,16,4,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Taian,36.15,116.59,global average,96.4567269929,71.5,11,4,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Taian,36.15,116.59,global average,84.828772796,71.5,12,3,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Taian,36.15,116.59,global average,80.6823440147,71.5,13,3,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Taian,36.15,116.59,global average,10.7872337015,71.5,14,3,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Taian,36.15,116.59,global average,2.1789055779,71.5,15,3,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Taian,36.15,116.59,global average,0.5258911349,71.5,16,3,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Langfang,39.31,116.42,global average,96.8497827934,71.5,11,2,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Langfang,39.31,116.42,global average,96.6400034197,71.5,12,2,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Langfang,39.31,116.42,global average,96.6914063126,71.5,13,2,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Langfang,39.31,116.42,global average,65.7732608777,71.5,14,2,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Langfang,39.31,116.42,global average,10.1840779272,71.5,15,2,n
newsearch,chen,2013,China,3,Helicoverpa,armigera,Lepidoptera,Langfang,39.31,116.42,global average,0.1305911333,71.5,16,2,n
newsearch,gomi,1996,japan,6,Hyphantria,cunea,Lepidoptera,AT,39.7,140.1,global average,100.6644518272,770,14,3,n
newsearch,gomi,1996,japan,6,Hyphantria,cunea,Lepidoptera,AT,39.7,140.1,global average,85.049833887,770,14.25,3,n
newsearch,gomi,1996,japan,6,Hyphantria,cunea,Lepidoptera,AT,39.7,140.1,global average,62.9568106312,770,14.5,3,n
newsearch,gomi,1996,japan,6,Hyphantria,cunea,Lepidoptera,AT,39.7,140.1,global average,22.9235880399,770,14.75,3,n
