species	ID	Latitude	Longitude	dl	Diap.	ND	%
auraria	KO	44.76	142.26	10	22	0	100
auraria	KO	44.76	142.26	12	61	0	100
auraria	KO	44.76	142.26	12.5	113	38	74.83443709
auraria	KO	44.76	142.26	13	117	79	59.69387755
auraria	KO	44.76	142.26	13.5	79	116	40.51282051
auraria	KO	44.76	142.26	14	19	32	37.25490196
auraria	ON	41.97	140.67	10	86	6	93.47826087
auraria	ON	41.97	140.67	12	77	16	82.79569892
auraria	ON	41.97	140.67	12.5	30	7	81.08108108
auraria	ON	41.97	140.67	13	7	1	87.5
auraria	ON	41.97	140.67	13.5	11	55	16.66666667
auraria	ON	41.97	140.67	14	0	53	0
auraria	IW	38.11	140.87	10	64	14	82.05128205
auraria	IW	38.11	140.87	11.5	37	10	78.72340426
auraria	IW	38.11	140.87	12	12	24	33.33333333
auraria	IW	38.11	140.87	12.5	2	58	3.333333333
auraria	IW	38.11	140.87	13	5	121	3.968253968
auraria	IW	38.11	140.87	13.5	0	28	0
auraria	IW	38.11	140.87	14	0	17	0
auraria	TS	36.32	139	10	35	5	87.5
auraria	TS	36.32	139	11.5	35	13	72.91666667
auraria	TS	36.32	139	12	30	55	35.29411765
auraria	TS	36.32	139	12.5	5	15	25
auraria	TS	36.32	139	13	6	42	12.5
auraria	TS	36.32	139	13.5	2	15	11.76470588
auraria	TS	36.32	139	14	0	58	0
auraria	OI	33.25	131.65	10	11	4	73.33333333
auraria	OI	33.25	131.65	11.5	4	30	11.76470588
auraria	OI	33.25	131.65	12	22	75	#DIV/0!
auraria	OI	33.25	131.65	12.5	0	61	0
auraria	MY	31.92	131.44	10	63	48	56.75675676
auraria	MY	31.92	131.44	11.5	7	7	50
auraria	MY	31.92	131.44	12	15	110	12
auraria	MY	31.92	131.44	12.5	0	17	0
triauraria	ON	41.97	140.67	10	27	0	100
triauraria	ON	41.97	140.67	12	36	0	100
triauraria	ON	41.97	140.67	13	115	76	60.20942408
triauraria	ON	41.97	140.67	13.5	66	51	56.41025641
triauraria	ON	41.97	140.67	14	1	86	1.149425287
triauraria	IW	38.11	140.87	10	38	4	90.47619048
triauraria	IW	38.11	140.87	12	84	39	68.29268293
triauraria	IW	38.11	140.87	12.5	84	76	52.5
triauraria	IW	38.11	140.87	13	1	63	1.5625
triauraria	IW	38.11	140.87	14	0	32	0
triauraria	OI	33.25	131.65	10	16	0	100
triauraria	OI	33.25	131.65	11.5	44	7	86.2745098
triauraria	OI	33.25	131.65	12	127	42	75.14792899
triauraria	OI	33.25	131.65	12.5	29	52	35.80246914
triauraria	OI	33.25	131.65	13	11	47	18.96551724
triauraria	OI	33.25	131.65	13.5	1	31	3.125
triauraria	KG	31.58	130.54	10	53	0	100
triauraria	KG	31.58	130.54	11.5	46	16	74.19354839
triauraria	KG	31.58	130.54	12	44	42	51.1627907
triauraria	KG	31.58	130.54	12.5	21	77	21.42857143
triauraria	KG	31.58	130.54	13	2	37	5.128205128
