species	ID	lat	lon	dl	Diap	ND	perc
auraria	Wakkanai	45.4	141.69	11	94	1	98.94736842
auraria	Wakkanai	45.4	141.69	12	83	4	95.40229885
auraria	Wakkanai	45.4	141.69	13	97	87	52.7173913
auraria	Wakkanai	45.4	141.69	14	10	163	5.780346821
auraria	Wakkanai	45.4	141.69	15	0	82	0
auraria	Haboro	44.36	141.7	11	95	1	98.95833333
auraria	Haboro	44.36	141.7	12	102	13	88.69565217
auraria	Haboro	44.36	141.7	13	194	139	58.25825826
auraria	Haboro	44.36	141.7	14	41	302	11.95335277
auraria	Haboro	44.36	141.7	15	0	70	0
auraria	Sapporo	43.07	141.35	11	70	0	100
auraria	Sapporo	43.07	141.35	12	101	22	82.11382114
auraria	Sapporo	43.07	141.35	13	136	149	47.71929825
auraria	Sapporo	43.07	141.35	14	4	196	2
auraria	Sapporo	43.07	141.35	15	1	115	0.862068966
auraria	Kikonai	41.66	140.43	11	91	4	95.78947368
auraria	Kikonai	41.66	140.43	12	192	63	75.29411765
auraria	Kikonai	41.66	140.43	13	57	301	15.92178771
auraria	Kikonai	41.66	140.43	14	0	50	0
auraria	Imabetsu	41.15	140.45	11	83	2	97.64705882
auraria	Imabetsu	41.15	140.45	12	150	36	80.64516129
auraria	Imabetsu	41.15	140.45	13	45	252	15.15151515
auraria	Imabetsu	41.15	140.45	14	0	80	0
auraria	Yagishiri	44.44	141.43	11	74	1	98.66666667
auraria	Yagishiri	44.44	141.43	12	106	9	92.17391304
auraria	Yagishiri	44.44	141.43	13	98	124	44.14414414
auraria	Yagishiri	44.44	141.43	14	12	188	6
auraria	Yagishiri	44.44	141.43	15	0	82	0
biauraria	Sapporo	43.07	141.35	11	90	0	100
biauraria	Sapporo	43.07	141.35	12	90	0	100
biauraria	Sapporo	43.07	141.35	13	73	11	86.9047619
biauraria	Sapporo	43.07	141.35	14	73	97	42.94117647
biauraria	Sapporo	43.07	141.35	15	0	119	0
biauraria	Setana	42.45	139.85	11	8	0	100
biauraria	Setana	42.45	139.85	12	63	2	96.92307692
biauraria	Setana	42.45	139.85	13	8	1	88.88888889
biauraria	Setana	42.45	139.85	14	9	28	24.32432432
biauraria	Setana	42.45	139.85	15	0	65	0
biauraria	Kikonai	41.66	140.43	11	89	0	100
biauraria	Kikonai	41.66	140.43	12	100	2	98.03921569
biauraria	Kikonai	41.66	140.43	13	82	15	84.53608247
biauraria	Kikonai	41.66	140.43	14	9	81	10
biauraria	Kikonai	41.66	140.43	15	0	86	0
