ID	perc	x	dl	degN	degE	N	off	Nmethod
KZ	98.16178553	11.01604604	11	41.34	120.27	71	NA	estimate
KZ	98.87127369	12.00554638	12	41.34	120.27	71	NA	estimate
KZ	98.00437085	13.01521248	13	41.34	120.27	71	NA	estimate
KZ	44.7770493	14.00219611	14	41.34	120.27	71	NA	estimate
KZ	0	14.99427729	15	41.34	120.27	71	NA	estimate
KZ	0.261823467	16.0122309	16	41.34	120.27	71	NA	estimate
LF	96.84978279	11.01181412	11	39.31	116.42	71	NA	estimate
LF	96.64000342	12.00934549	12	39.31	116.42	71	NA	estimate
LF	96.69140631	13.02319542	13	39.31	116.42	71	NA	estimate
LF	65.77326088	14.01697578	14	39.31	116.42	71	NA	estimate
LF	10.18407793	14.99959925	15	39.31	116.42	71	NA	estimate
LF	0.130591133	16.01221487	16	39.31	116.42	71	NA	estimate
TA	96.45672699	11.00362278	11	36.15	116.59	71	NA	estimate
TA	84.8287728	12.01197442	12	36.15	116.59	71	NA	estimate
TA	80.68234401	13.00495327	13	36.15	116.59	71	NA	estimate
TA	10.7872337	14.00618758	14	36.15	116.59	71	NA	estimate
TA	2.178905578	14.99862142	15	36.15	116.59	71	NA	estimate
TA	0.525891135	15.99190485	16	36.15	116.59	71	NA	estimate
YX	72.44056874	11.00883253	11	29.04	116.82	71	NA	estimate
YX	43.49154951	11.9947101	12	29.04	116.82	71	NA	estimate
YX	31.99386585	13.01529263	13	29.04	116.82	71	NA	estimate
YX	5.669493291	14.00149079	14	29.04	116.82	71	NA	estimate
YX	0	15.00647612	15	29.04	116.82	71	NA	estimate
GZ	0.131232334	11.00407162	11	23.08	113.14	71	NA	estimate
GZ	26.95499308	12.0089768	12	23.08	113.14	71	NA	estimate
GZ	21.2334557	13.00583492	13	23.08	113.14	71	NA	estimate
GZ	0.289288214	13.99676194	14	23.08	113.14	71	NA	estimate
GZ	0.079508841	14.99429332	15	23.08	113.14	71	NA	estimate
GZ	0.130270533	16.01628649	16	23.08	113.14	71	NA	estimate
