ID	perc	x	dl	degN	degE	blocks	N	off	Nmethod
 HN	1.597869507	4.011583012	4	21.02	105.85	3	80	NA	estimate
 HN	25.91191153	6.420849421	8	21.02	105.85	3	80	NA	estimate
 HN	42.1042214	8.795366795	10	21.02	105.85	3	80	NA	estimate
 HN	24.47341768	11.23938224	12	21.02	105.85	3	80	NA	estimate
 HN	0.585577017	13.62548263	14	21.02	105.85	3	80	NA	estimate
 HN	0.665778961	16.01158301	16	21.02	105.85	3	80	NA	estimate
JY	33.55551671	4	4	32.51	120.15	3	80	NA	estimate
JY	75.57927911	6.409266409	8	32.51	120.15	3	80	NA	estimate
JY	89.37452766	8.795366795	10	32.51	120.15	3	80	NA	estimate
JY	65.61907161	11.21621622	12	32.51	120.15	3	80	NA	estimate
JY	0.586091132	13.6023166	14	32.51	120.15	3	80	NA	estimate
JY	0.533137284	15.98841699	16	32.51	120.15	3	80	NA	estimate
CC	90.27962716	4.011583012	4	43.89	125.32	3	80	NA	estimate
CC	94.48740161	6.409266409	8	43.89	125.32	3	80	NA	estimate
CC	97.49651687	8.818532819	10	43.89	125.32	3	80	NA	estimate
CC	91.45129531	11.21621622	12	43.89	125.32	3	80	NA	estimate
CC	4.314196258	13.61389961	14	43.89	125.32	3	80	NA	estimate
CC	0.267082757	15.97683398	16	43.89	125.32	3	80	NA	estimate
