ID	perc	x	dl	degN	degE	N	off	Nmethod
Wakayama	3.133062115	12.99583251	13	34.23333333	135.1666667	25	NA	accurate
Wakayama	3.067324866	12.00977376	12	34.23333333	135.1666667	17	NA	accurate
Wakayama	16.63648541	11.54718198	11	34.23333333	135.1666667	88	NA	accurate
Wakayama	100.0024807	10.03711054	10	34.23333333	135.1666667	14	NA	accurate
Wakkanai	100.1937835	9.965763203	10	45.3975	141.7	42	NA	accurate
Wakkanai	100.6900959	11.9992527	12	45.3975	141.7	42	NA	accurate
Wakkanai	100.6632961	12.96940695	13	45.3975	141.7	35	NA	accurate
Wakkanai	4.77861785	13.99475857	14	45.3975	141.7	31	NA	accurate
Wakkanai	-1.604382805	15.05938226	15	45.3975	141.7	45	NA	accurate
Wakkanai	-0.553519798	17.01814143	17	45.3975	141.7	30	NA	accurate
Abashiri	99.93123281	9.976744186	10	44.019722	144.258611	33	NA	accurate
Abashiri	100.0687672	12.02325581	12	44.019722	144.258611	51	NA	accurate
Abashiri	7.12428107	13.00930233	13	44.019722	144.258611	26	NA	accurate
Abashiri	3.427106777	13.99534884	14	44.019722	144.258611	15	NA	accurate
Abashiri	3.229557389	15.05581395	15	44.019722	144.258611	15	NA	accurate
Kyoto	99.93373343	10.01395349	10	35.011667	135.768056	12	NA	accurate
Kyoto	99.46236559	11	11	35.011667	135.768056	40	NA	accurate
Kyoto	51.11027757	11.52093023	11.5	35.011667	135.768056	102	NA	accurate
Kyoto	9.2048012	11.96744186	12	35.011667	135.768056	50	NA	accurate
Kyoto	2.52188047	12.5255814	12.5	35.011667	135.768056	56	NA	accurate
Kyoto	2.419354839	15	15	35.011667	135.768056	18	NA	accurate
