ID	perc	x	dl	degN	degE	N	offs	Nmethod
 OUL	100	7.985432965	8	65.06115556	25.528	18	17	estimate
 OUL	95.66965401	9.406668065	10	65.06115556	25.528	18	17	estimate
 OUL	90.7710138	10.84189072	12	65.06115556	25.528	18	17	estimate
 OUL	100	12.27515511	13	65.06115556	25.528	18	17	estimate
 OUL	95.17769185	13.69643018	14	65.06115556	25.528	18	17	estimate
 OUL	78.94453936	15.14715903	15	65.06115556	25.528	18	17	estimate
 OUL	27.41759834	16.5749483	16	65.06115556	25.528	18	17	estimate
 OUL	17.92784422	18.01081038	18	65.06115556	25.528	18	17	estimate
 TUR	100	7.985452947	8	61.26125833	22.22332222	6	17	estimate
 TUR	100	9.392121012	10	61.26125833	22.22332222	6	17	estimate
 TUR	100	10.85453946	12	61.26125833	22.22332222	6	17	estimate
 TUR	100	12.26122751	13	61.26125833	22.22332222	6	17	estimate
 TUR	100	13.69577076	14	61.26125833	22.22332222	6	17	estimate
 TUR	100	15.14422164	15	61.26125833	22.22332222	6	17	estimate
 TUR	42.0515741	16.58683771	16	61.26125833	22.22332222	6	17	estimate
 TUR	70.43870955	18.00349689	18	61.26125833	22.22332222	6	17	estimate
 LAT	95.54656356	7.986072396	8	56.85626667	25.20038333	26	17	estimate
 LAT	88.49603853	9.407667176	10	56.85626667	25.20038333	26	17	estimate
 LAT	84.02781524	10.84282988	12	56.85626667	25.20038333	26	17	estimate
 LAT	87.5940413	12.27687358	13	56.85626667	25.20038333	26	17	estimate
 LAT	39.94065282	13.71805093	14	56.85626667	25.20038333	26	17	estimate
 LAT	27.86839713	15.1542727	15	56.85626667	25.20038333	26	17	estimate
 LAT	0	16.56485728	16	56.85626667	25.20038333	26	17	estimate
 LAT	0	18	18	56.85626667	25.20038333	26	17	estimate
 HAM	86.93822498	7.987271329	8	53.60656111	10.17159444	26	17	estimate
 HAM	90.79139566	9.421275065	10	53.60656111	10.17159444	26	17	estimate
 HAM	87.04053392	10.85633786	12	53.60656111	10.17159444	26	17	estimate
 HAM	94.76765679	12.27587447	13	53.60656111	10.17159444	26	17	estimate
 HAM	69.63942092	13.71391462	14	53.60656111	10.17159444	26	17	estimate
 HAM	17.25184586	15.12789617	15	53.60656111	10.17159444	26	17	estimate
 HAM	8.192308845	16.57762591	16	53.60656111	10.17159444	26	17	estimate
 HAM	0	17.99940053	18	53.60656111	10.17159444	26	17	estimate
 SCH	66.56515701	7.990108803	8	50.33225	9.513055556	22	17	estimate
 SCH	42.15448251	9.414121432	10	50.33225	9.513055556	22	17	estimate
 SCH	47.44217646	10.86185295	12	50.33225	9.513055556	22	17	estimate
 SCH	47.27852212	12.26856098	13	50.33225	9.513055556	22	17	estimate
 SCH	15.69423213	13.69357272	14	50.33225	9.513055556	22	17	estimate
 SCH	0	15.13031402	15	50.33225	9.513055556	22	17	estimate
 SCH	0	16.59271249	16	50.33225	9.513055556	22	17	estimate
 SCH	0	18.01332814	18	50.33225	9.513055556	22	17	estimate
 SWI	60.68259249	8.004855678	8	46.73587222	7.115927778	26	17	estimate
 SWI	44.88025657	9.427669374	10	46.73587222	7.115927778	26	17	estimate
 SWI	67.95891656	10.84506789	12	46.73587222	7.115927778	26	17	estimate
 SWI	61.76882575	12.29439799	13	46.73587222	7.115927778	26	17	estimate
 SWI	38.93654647	13.70426321	14	46.73587222	7.115927778	26	17	estimate
 SWI	7.639201111	15.12923498	15	46.73587222	7.115927778	26	17	estimate
 SWI	0	16.56487726	16	46.73587222	7.115927778	26	17	estimate
 SWI	0	18.04120333	18	46.73587222	7.115927778	26	17	estimate
 COR	31.41444115	7.995004446	8	42.37522222	8.748	25	17	estimate
 COR	0	9.43394379	10	42.37522222	8.748	25	17	estimate
 COR	24.91722367	10.85106255	12	42.37522222	8.748	25	17	estimate
 COR	20.01878328	12.2723576	13	42.37522222	8.748	25	17	estimate
 COR	0	13.72362597	14	42.37522222	8.748	25	17	estimate
 COR	0	15.11638642	15	42.37522222	8.748	25	17	estimate
 COR	0	16.5787649	16	42.37522222	8.748	25	17	estimate
 COR	0	18.04118335	18	42.37522222	8.748	25	17	estimate
