ID	x	perc	dl	degN	degE	blocks	N	offs	Nmethod
 SP22	7.146787966	84.0969934	8	36.97	-2.12	6	32	NA	estimate
 SP22	9.309237158	49.48313125	10	36.97	-2.12	6	32	NA	estimate
 SP22	11.42538539	66.75654689	12	36.97	-2.12	6	32	NA	estimate
 SP22	13.65112084	51.16717859	14	36.97	-2.12	6	32	NA	estimate
 SP22	15.71769932	45.17067358	16.00	36.97	-2.12	6	32	NA	estimate
 MREN	7.17808973	46.20358353	8	39.2	16.11	6	32	NA	estimate
 MREN	9.25513662	60.64722036	10	39.2	16.11	6	32	NA	estimate
 MREN	11.45734919	23.83168354	12	39.2	16.11	6	32	NA	estimate
 MREN	13.57467667	32.14282266	14	39.2	16.11	6	32	NA	estimate
 MREN	15.70675508	28.34688893	16.00	39.2	16.11	6	32	NA	estimate
 SAL	7.178400058	43.84508971	8	40.38	17.97	6	32	NA	estimate
 SAL	9.308947519	51.68439215	10	40.38	17.97	6	32	NA	estimate
 SAL	11.43004032	31.3791396	12	40.38	17.97	6	32	NA	estimate
 SAL	13.56240837	25.38194497	14	40.38	17.97	6	32	NA	estimate
 SAL	15.72235425	9.793266293	16.00	40.38	17.97	6	32	NA	estimate
 BOL	7.165055949	45.26032393	8	46.3	11.22	6	32	NA	estimate
 BOL	9.294920687	58.28831277	10	46.3	11.22	6	32	NA	estimate
 BOL	11.44152246	44.1148683	12	46.3	11.22	6	32	NA	estimate
 BOL	13.57157339	55.72776085	14	46.3	11.22	6	32	NA	estimate
 BOL	15.74697361	22.68608999	16.00	46.3	11.22	6	32	NA	estimate
 HU	7.163297423	58.62512223	8	52.03	5.17	6	32	NA	estimate
 HU	9.307685518	61.27560035	10	52.03	5.17	6	32	NA	estimate
 HU	11.44148108	44.42933415	12	52.03	5.17	6	32	NA	estimate
 HU	13.5688425	76.48250646	14	52.03	5.17	6	32	NA	estimate
 HU	15.69382475	26.61746472	16.00	52.03	5.17	6	32	NA	estimate
 KOR	7.15212561	43.53089972	8	62.01	25.33	6	32	NA	estimate
 KOR	9.305140827	80.61524966	10	62.01	25.33	6	32	NA	estimate
 KOR	11.45225981	62.51098217	12	62.01	25.33	6	32	NA	estimate
 KOR	13.56091879	36.7027153	14	62.01	25.33	6	32	NA	estimate
 KOR	15.70505862	41.23998847	16.00	62.01	25.33	6	32	NA	estimate
