ID	percminus	perc	dl	degN	degE	x	N	offs	Nmethod
 PAR	95.65217391	4.347826087	10	50	15.8	9.889943074	6	10	estimate
 PAR	92.46376812	7.536231884	12	50	15.8	11.93927894	6	10	estimate
 PAR	14.7826087	85.2173913	14	50	15.8	13.89753321	6	10	estimate
 PAR	0	100	16	50	15.8	15.83301708	6	10	estimate
 PAR	-0.289855072	100.2898551	18	50	15.8	17.85958254	6	10	estimate
 SOT	83.33333333	16.66666667	10	43.6	39.6	9.920094354	6	10	estimate
 SOT	25.43859649	74.56140351	12	43.6	39.6	11.9262863	6	10	estimate
 SOT	13.74269006	86.25730994	14	43.6	39.6	13.89562141	6	10	estimate
 SOT	14.32748538	85.67251462	16	43.6	39.6	15.88707062	6	10	estimate
 SOT	16.37426901	83.62573099	18	43.6	39.6	17.90336134	6	10	estimate
 Daegu	88.85542169	11.14457831	10	35.9	128.6	9.805940594	6	10	estimate
 Daegu	80.72289157	19.27710843	12	35.9	128.6	11.8019802	6	10	estimate
 Daegu	-0.301204819	100.3012048	14	35.9	128.6	13.82178218	6	10	estimate
 Daegu	-0.301204819	100.3012048	16	35.9	128.6	15.79405941	6	10	estimate
 Daegu	-0.301204819	100.3012048	18	35.9	128.6	17.81386139	6	10	estimate
 Irkutsk	99.95086855	0.04913145	10	52.3	104.3	9.878248228	6	10	estimate
 Irkutsk	99.89904497	0.100955035	12	52.3	104.3	11.88693036	6	10	estimate
 Irkutsk	89.94016732	10.05983268	14	52.3	104.3	13.89302805	6	10	estimate
 Irkutsk	30.44669238	69.55330762	16	52.3	104.3	15.8601167	6	10	estimate
 Irkutsk	22.34471433	77.65528567	18	52.3	104.3	17.89278575	6	10	estimate
