ID	x	perc	dl	degN	degE	N	Nmethod
 Kalix	17.00293682	91.75786044	17	65.916	23.25	50	accurate
 Kalix	18.00732936	98.01849266	18	65.916	23.25	53	accurate
 Kalix	20.0114426	63.99665693	20	65.916	23.25	50	accurate
 Kalix	22.00814185	56.11294486	22	65.916	23.25	51	accurate
 Kalix	23.5344759	62.21594516	24	65.916	23.25	50	accurate
 Vindeln	17.01219584	84.00088866	17	64.166	19.75	50	accurate
 Vindeln	18.00335153	58.38940375	18	64.166	19.75	50	accurate
 Vindeln	19.99763023	26.39096949	20	64.166	19.75	50	accurate
 Vindeln	22.01443866	18.84494943	22	64.166	19.75	32	accurate
 Vindeln	23.52062968	24.27298887	24	64.166	19.75	50	accurate
 Uppland	16.98782108	41.16732258	17	60.25	17.533	50	accurate
 Uppland	17.99040244	29.38407177	18	60.25	17.533	50	accurate
 Uppland	19.99488807	0	20	60.25	17.533	50	accurate
 Uppland	22.013897	13.44864796	22	60.25	17.533	53	accurate
 Uppland	23.49945411	13.31132834	24	60.25	17.533	50	accurate
 Asa	16.99	20.09	17	57.166	14.783	50	accurate
 Asa	18.00	0.21	18	57.166	14.783	52	accurate
 Asa	20.00	0.42	20	57.166	14.783	50	accurate
 Asa	22.01	4.17	22	57.166	14.783	54	accurate
 Asa	23.51	21.91	24	57.166	14.783	50	accurate
