ID	perc	x	dl	degN	degE	N	off	Nmethod
BRU	81.51		8	31.11666667	-81.46666667	381	NA	estimate
BRU	92.85714286		12	31.11666667	-81.46666667	382	NA	estimate
BRU	94.20289855		12.5	31.11666667	-81.46666667	383	NA	estimate
BRU	26.72064777		12.75	31.11666667	-81.46666667	384	NA	estimate
BRU	25.0755287		13	31.11666667	-81.46666667	385	NA	estimate
BRU	14.61675579		13.25	31.11666667	-81.46666667	386	NA	estimate
BRU	5.837563452		13.5	31.11666667	-81.46666667	387	NA	estimate
BRU	4.895104895		13.75	31.11666667	-81.46666667	388	NA	estimate
BRU	0.317460317		14	31.11666667	-81.46666667	389	NA	estimate
BRU	3.436426117		14.25	31.11666667	-81.46666667	390	NA	estimate
BRU	0		14.5	31.11666667	-81.46666667	391	NA	estimate
BRU	2.097902098		16	31.11666667	-81.46666667	392	NA	estimate
HIR	99.35		8	34.38333333	132.4666667	393	NA	estimate
HIR	100		12	34.38333333	132.4666667	394	NA	estimate
HIR	65.50387597		12.5	34.38333333	132.4666667	395	NA	estimate
HIR	72.2007722		12.75	34.38333333	132.4666667	396	NA	estimate
HIR	61.83206107		13	34.38333333	132.4666667	397	NA	estimate
HIR	39.92094862		13.25	34.38333333	132.4666667	398	NA	estimate
HIR	26.625387		13.5	34.38333333	132.4666667	399	NA	estimate
HIR	2.127659574		13.75	34.38333333	132.4666667	400	NA	estimate
HIR	2.954898911		14	34.38333333	132.4666667	401	NA	estimate
HIR	2.21402214		14.25	34.38333333	132.4666667	402	NA	estimate
HIR	0		14.5	34.38333333	132.4666667	403	NA	estimate
HIR	0.577200577		16	34.38333333	132.4666667	404	NA	estimate
JACK	62.5		8	30.31666667	-81.78333333	405	NA	estimate
JACK	54.03225806		12	30.31666667	-81.78333333	406	NA	estimate
JACK	46.02851324		12.5	30.31666667	-81.78333333	407	NA	estimate
JACK	25		12.75	30.31666667	-81.78333333	408	NA	estimate
JACK	5.642633229		13	30.31666667	-81.78333333	409	NA	estimate
JACK	8.309455587		13.25	30.31666667	-81.78333333	410	NA	estimate
JACK	1.369863014		13.5	30.31666667	-81.78333333	411	NA	estimate
JACK	0.479616307		13.75	30.31666667	-81.78333333	412	NA	estimate
JACK	2.23325062		14	30.31666667	-81.78333333	413	NA	estimate
JACK	0		14.25	30.31666667	-81.78333333	414	NA	estimate
JACK	3.357314149		14.5	30.31666667	-81.78333333	415	NA	estimate
JACK	9.62962963		16	30.31666667	-81.78333333	416	NA	estimate
KHO	83.75	83.75	8	37.36666667	140.3666667	417	NA	estimate
KHO	78.53403141	78.53403141	12	37.36666667	140.3666667	418	NA	estimate
KHO	81.08108108	81.08108108	12.5	37.36666667	140.3666667	419	NA	estimate
KHO	68.98496241	68.98496241	12.75	37.36666667	140.3666667	420	NA	estimate
KHO	78.25112108	78.25112108	13	37.36666667	140.3666667	421	NA	estimate
KHO	68.75	68.75	13.25	37.36666667	140.3666667	422	NA	estimate
KHO	27.15654952	27.15654952	13.5	37.36666667	140.3666667	423	NA	estimate
KHO	17.77251185	17.77251185	13.75	37.36666667	140.3666667	424	NA	estimate
KHO	8.070175439	8.070175439	14	37.36666667	140.3666667	425	NA	estimate
KHO	5.818181818	5.818181818	14.25	37.36666667	140.3666667	426	NA	estimate
KHO	7.033639144	7.033639144	14.5	37.36666667	140.3666667	427	NA	estimate
KHO	6.079027356	6.079027356	16	37.36666667	140.3666667	428	NA	estimate
MAN	99.57		8	38.61666667	-77.41666667	429	NA	estimate
MAN	99.58158996		12	38.61666667	-77.41666667	430	NA	estimate
MAN	97.77777778		12.5	38.61666667	-77.41666667	431	NA	estimate
MAN	94.58333333		12.75	38.61666667	-77.41666667	432	NA	estimate
MAN	81.46341463		13	38.61666667	-77.41666667	433	NA	estimate
MAN	59.39675174		13.25	38.61666667	-77.41666667	434	NA	estimate
MAN	52.50965251		13.5	38.61666667	-77.41666667	435	NA	estimate
MAN	14.34977578		13.75	38.61666667	-77.41666667	436	NA	estimate
MAN	41.796875		14	38.61666667	-77.41666667	437	NA	estimate
MAN	10.94527363		14.25	38.61666667	-77.41666667	438	NA	estimate
MAN	11.2244898		14.5	38.61666667	-77.41666667	439	NA	estimate
MAN	5.607476636		16	38.61666667	-77.41666667	440	NA	estimate
MEL	11.9		8	27.56666667	-80.36666667	441	NA	estimate
MEL	12.94820717		12	27.56666667	-80.36666667	442	NA	estimate
MEL	4.918032787		12.5	27.56666667	-80.36666667	443	NA	estimate
MEL	2.471910112		12.75	27.56666667	-80.36666667	444	NA	estimate
MEL	4.918032787		13	27.56666667	-80.36666667	445	NA	estimate
MEL	3.313253012		13.25	27.56666667	-80.36666667	446	NA	estimate
MEL	0.334448161		13.5	27.56666667	-80.36666667	447	NA	estimate
MEL	0		13.75	27.56666667	-80.36666667	448	NA	estimate
MEL	1.271860095		14	27.56666667	-80.36666667	449	NA	estimate
MEL	1.287553648		14.25	27.56666667	-80.36666667	450	NA	estimate
MEL	0.324675325		14.5	27.56666667	-80.36666667	451	NA	estimate
MEL	0.583090379		16	27.56666667	-80.36666667	452	NA	estimate
NEW	100		8	40.71666667	-74.06666667	453	NA	estimate
NEW	98.50187266		12	40.71666667	-74.06666667	454	NA	estimate
NEW	98.68421053		12.5	40.71666667	-74.06666667	455	NA	estimate
NEW	100		12.75	40.71666667	-74.06666667	456	NA	estimate
NEW	97.20930233		13	40.71666667	-74.06666667	457	NA	estimate
NEW	97.62532982		13.25	40.71666667	-74.06666667	458	NA	estimate
NEW	79.95169082		13.5	40.71666667	-74.06666667	459	NA	estimate
NEW	29.95780591		13.75	40.71666667	-74.06666667	460	NA	estimate
NEW	44.76190476		14	40.71666667	-74.06666667	461	NA	estimate
NEW	49.33628319		14.25	40.71666667	-74.06666667	462	NA	estimate
NEW	8.571428571		14.5	40.71666667	-74.06666667	463	NA	estimate
NEW	0		16	40.71666667	-74.06666667	464	NA	estimate
NVA	98.71		8	36.35	-78.36666667	465	NA	estimate
NVA	95.90163934		12	36.35	-78.36666667	466	NA	estimate
NVA	94.07665505		12.5	36.35	-78.36666667	467	NA	estimate
NVA	78.27868852		12.75	36.35	-78.36666667	468	NA	estimate
NVA	66.95156695		13	36.35	-78.36666667	469	NA	estimate
NVA	37.02702703		13.25	36.35	-78.36666667	470	NA	estimate
NVA	27.92553191		13.5	36.35	-78.36666667	471	NA	estimate
NVA	18.60465116		13.75	36.35	-78.36666667	472	NA	estimate
NVA	15.76086957		14	36.35	-78.36666667	473	NA	estimate
NVA	3.048780488		14.25	36.35	-78.36666667	474	NA	estimate
NVA	16.66666667		14.5	36.35	-78.36666667	475	NA	estimate
NVA	9.090909091		16	36.35	-78.36666667	476	NA	estimate
OKI	26.06		8	26.21666667	127.9166667	477	NA	estimate
OKI	24.3902439		12	26.21666667	127.9166667	478	NA	estimate
OKI	20.18779343		12.5	26.21666667	127.9166667	479	NA	estimate
OKI	25.6227758		12.75	26.21666667	127.9166667	480	NA	estimate
OKI	6.343283582		13	26.21666667	127.9166667	481	NA	estimate
OKI	3.773584906		13.25	26.21666667	127.9166667	482	NA	estimate
OKI	1.777777778		13.5	26.21666667	127.9166667	483	NA	estimate
OKI	10.98901099		13.75	26.21666667	127.9166667	484	NA	estimate
OKI	0		14	26.21666667	127.9166667	485	NA	estimate
OKI	0		14.25	26.21666667	127.9166667	486	NA	estimate
OKI	6.194690265		14.5	26.21666667	127.9166667	487	NA	estimate
