ID	perc	x	dl	degN	degE	blocks	N	off	Nmethod
 JMS	99.71870605	11.99370132	12	46.61666667	132.4833333	3	75	NA	estimated
 JMS	99.57805907	12.49723741	12.5	46.61666667	132.4833333	3	75	NA	estimated
 JMS	99.85935302	12.99449253	13	46.61666667	132.4833333	3	75	NA	estimated
 JMS	99.85935302	13.49803304	13.5	46.61666667	132.4833333	3	75	NA	estimated
 JMS	100.140647	13.99528816	14	46.61666667	132.4833333	3	75	NA	estimated
 JMS	99.71870605	14.50196253	14.5	46.61666667	132.4833333	3	75	NA	estimated
 JMS	98.87482419	14.99288798	15	46.61666667	132.4833333	3	75	NA	estimated
 JMS	94.23347398	15.4931353	15.5	46.61666667	132.4833333	3	75	NA	estimated
 JMS	90.99859353	16.00286827	16	46.61666667	132.4833333	3	75	NA	estimated
BJ	99.85935302	11.99370574	12	40.25	115.6666667	3	75	NA	estimated
BJ	99.71870605	12.50668322	12.5	40.25	115.6666667	3	75	NA	estimated
BJ	99.85935302	13.00708104	13	40.25	115.6666667	3	75	NA	estimated
BJ	99.85935302	13.48859166	13.5	40.25	115.6666667	3	75	NA	estimated
BJ	92.9676512	13.99820955	14	40.25	115.6666667	3	75	NA	estimated
BJ	19.4092827	14.49314083	14.5	40.25	115.6666667	3	75	NA	estimated
BJ	10.54852321	14.99640249	15	40.25	115.6666667	3	75	NA	estimated
BJ	0.140646976	15.49646833	15.5	40.25	115.6666667	3	75	NA	estimated
BJ	-0.421940928	15.99684402	16	40.25	115.6666667	3	75	NA	estimated
ZB	99.71870605	12.00628983	12	36.8	118.05	3	75	NA	estimated
ZB	99.4374121	12.50667437	12.5	36.8	118.05	3	75	NA	estimated
ZB	99.4374121	13.00706776	13	36.8	118.05	3	75	NA	estimated
ZB	88.04500703	13.4945141	13.5	36.8	118.05	3	75	NA	estimated
ZB	81.01265823	13.99783331	14	36.8	118.05	3	75	NA	estimated
ZB	7.594936709	14.49906328	14.5	36.8	118.05	3	75	NA	estimated
ZB	-0.562587904	14.99919994	15	36.8	118.05	3	75	NA	estimated
ZB	-0.140646976	15.49645948	15.5	36.8	118.05	3	75	NA	estimated
ZB	-0.421940928	15.99054976	16	36.8	118.05	3	75	NA	estimated
FX	99.71870605	12.00628983	12	32.6	110.7	3	75	NA	estimated
FX	99.71870605	12.50983035	12.5	32.6	110.7	3	75	NA	estimated
FX	99.85935302	13.00393391	13	32.6	110.7	3	75	NA	estimated
FX	12.9395218	13.49529757	13.5	32.6	110.7	3	75	NA	estimated
FX	-0.140646976	13.99527931	14	32.6	110.7	3	75	NA	estimated
FX	0	14.50197138	14.5	32.6	110.7	3	75	NA	estimated
FX	-0.140646976	15.00236035	15	32.6	110.7	3	75	NA	estimated
FX	-0.140646976	15.49960661	15.5	32.6	110.7	3	75	NA	estimated
FX	0	16.00629868	16	32.6	110.7	3	75	NA	estimated
WH	99.71870605	11.99684845	12	30.55	114.3166667	3	75	NA	estimated
WH	99.85935302	12.50668765	12.5	30.55	114.3166667	3	75	NA	estimated
WH	66.66666667	12.99659504	13	30.55	114.3166667	3	75	NA	estimated
WH	8.438818565	13.49830305	13.5	30.55	114.3166667	3	75	NA	estimated
WH	0	14.00157799	14	30.55	114.3166667	3	75	NA	estimated
WH	-0.140646976	14.50196696	14.5	30.55	114.3166667	3	75	NA	estimated
WH	-0.140646976	14.98977183	15	30.55	114.3166667	3	75	NA	estimated
WH	-0.140646976	15.50275374	15.5	30.55	114.3166667	3	75	NA	estimated
WH	0.140646976	16.00000885	16	30.55	114.3166667	3	75	NA	estimated
HH	91.42053446	12.00602868	12	27.45	109.9666667	3	75	NA	estimated
HH	49.36708861	12.49565721	12.5	27.45	109.9666667	3	75	NA	estimated
HH	9.845288326	12.99795392	13	27.45	109.9666667	3	75	NA	estimated
HH	-0.281293952	13.49802862	13.5	27.45	109.9666667	3	75	NA	estimated
HH	-0.421940928	14.00156471	14	27.45	109.9666667	3	75	NA	estimated
HH	-0.140646976	14.50196696	14.5	27.45	109.9666667	3	75	NA	estimated
HH	-0.281293952	14.99606166	15	27.45	109.9666667	3	75	NA	estimated
HH	-0.281293952	15.49645505	15.5	27.45	109.9666667	3	75	NA	estimated
HH	0.281293952	15.99686615	16	27.45	109.9666667	3	75	NA	estimated
