row	set	popid	ID	PY	region	pops_left	genus	spec	order	pop	degN	degE	nmethod	perc	n2	dl2	number	b	bse	c	cse	d	dse	e	ese	use
b:ankersmit-el_paso-Pectinophora-gossypiella	newsearch	ankersmit-el_paso-Pectinophora-gossypiella	ankersmit	1967	SA	3	Pectinophora	gossypiella	lepidoptera	el_paso	31.779	-106.478	pop average	10.6161997505	275	13	29	65.9342934969	17.1848355021	0.0420085556	0.0068619909	0.953238854	0.0132893741	12.5823461641	0.0470849919	y
b:ankersmit-port_lavaca-Pectinophora-gossypiella	newsearch	ankersmit-port_lavaca-Pectinophora-gossypiella	ankersmit	1967	SA	3	Pectinophora	gossypiella	lepidoptera	port_lavaca	28.61	-96.629	pop average	4.9090909091	275	14	14	84.2914555285	11.3410998916	0.0420085556	0.0068619909	0.9176154479	0.034623057	12.7769022303	0.0283175263	y
b:ankersmit-virgin_is-Pectinophora-gossypiella	newsearch	ankersmit-virgin_is-Pectinophora-gossypiella	ankersmit	1967	SA	3	Pectinophora	gossypiella	lepidoptera	virgin_is	18.333	-64.75	pop average	5.4880577529	175	13	10	110.6288898914	12.3775966028	0.0420085556	0.0068619909	0.7571456833	0.0262786784	12.5521142359	0.0126087233	y
b:chen-Langfang-Helicoverpa-armigera	newsearch	chen-Langfang-Helicoverpa-armigera	chen	2013	China	3	Helicoverpa	armigera	lepidoptera	Langfang	39.31	116.42	global average	0.1305911333	72	16	0	45.5935812191	2.7319276505	0	0.0069906335	0.9756504277	0.0029472462	14.2391352088	0.0242405192	y
b:chen-Taian-Helicoverpa-armigera	newsearch	chen-Taian-Helicoverpa-armigera	chen	2013	China	3	Helicoverpa	armigera	lepidoptera	Taian	36.15	116.59	global average	0.5258911349	72	16	0	44.5652305489	15.6797807688	0	0.0069906335	0.912218803	0.0398697111	13.5022100434	0.0788754471	y
b:chen-Yongxiu-Helicoverpa-armigera	newsearch	chen-Yongxiu-Helicoverpa-armigera	chen	2013	China	3	Helicoverpa	armigera	lepidoptera	Yongxiu	29.04	116.82	global average	0.1302705331	72	16	0	21.960373838	7.7341883591	0	0.0069906335	0.7175385318	0.1378610811	12.5811107996	0.5747931949	y
b:gomi-AT-Hyphantria-cunea	newsearch	gomi-AT-Hyphantria-cunea	gomi	1996	japan	6	Hyphantria	cunea	lepidoptera	AT	39.7	140.1	global average	-0.8305647841	770	15	0	108.7820435949	14.8762436941	NA	NA	NA	NA	14.5517718324	0.0223167293	y
b:gomi-FI-Hyphantria-cunea	newsearch	gomi-FI-Hyphantria-cunea	gomi	1996	japan	6	Hyphantria	cunea	lepidoptera	FI	36.1	136.2	global average	-0.9966777409	770	15	0	224.6330534833	7.9760405505	NA	NA	NA	NA	14.6144321384	0.003977526	b_only
b:gomi-MB-Hyphantria-cunea	newsearch	gomi-MB-Hyphantria-cunea	gomi	1996	japan	6	Hyphantria	cunea	lepidoptera	MB	36.4	139.1	global average	-0.8305647841	770	15	0	151.717275529	25.2077679591	NA	NA	NA	NA	14.5589426189	0.0279503942	y
b:gomi-SO-Hyphantria-cunea	newsearch	gomi-SO-Hyphantria-cunea	gomi	1996	japan	6	Hyphantria	cunea	lepidoptera	SO	35	138.4	global average	0	770	14.75	0	226.213240626	9.0013455486	NA	NA	NA	NA	14.4165673871	0.0034580654	b_only
b:gomi-UM-Hyphantria-cunea	newsearch	gomi-UM-Hyphantria-cunea	gomi	1996	japan	6	Hyphantria	cunea	lepidoptera	UM	36.6	139.9	global average	6.976744186	770	14.75	54	193.4809043749	49.4211672759	NA	NA	NA	NA	14.4863029473	0.0234118446	y
