ID	1	2	3	4	5
1	60	60	60	60	20
2	60	60	60	58	0
3	60	60	60	45	0
4	60	60	60	60	0
5	60	60	58	10	0
6	60	60	60	12	0
7	60	60	55	7	0
8	60	60	60	50	0
9	60	60	60	10	0
10	60	60	45	3	0
11	60	5	0	0	0	
12	60	60	25	0	0	
13	60	60	12	0	0	
14	60	60	59	0	0
15	60	60	59	12	0
16	60	53	3	0	0
17	50	12	0	0	0
18	60	59	3	0	0	
19	48	0	0	0	0
20	60	60	55	8	0
21	60	53	3	0	0	
22	60	60	20	3	0
23	60	35	1	0	0
24	60	50	0	0	0
25	60	60	5	0	0
26	60	60	25	0	0
27	60	15	0	0	0	
28	60	60	5	0	0	
29	60	60	3	0	0	
30	60	60	2	0	0
31	60	58	12	0	0	
32	60	60	15	0	0		
