PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Kirkpatrick, DM; Leach, HL; Xu, P; Dong, K; Isaacs, R; Gut, LJ				Kirkpatrick, Danielle M.; Leach, Heather L.; Xu, Peng; Dong, Ke; Isaacs, Rufus; Gut, Larry J.			Comparative Antennal and Behavioral Responses of Summer and Winter Morph Drosophila suzukii (Diptera: Drosophilidae) to Ecologically Relevant Volatiles	ENVIRONMENTAL ENTOMOLOGY																						0	0						0046-225X	1938-2936				JUN	2018	47	3					700	706		10.1093/ee/nvy046								WOS:000434922800025	29668908					
J	Ehl, S; Dalstein, V; Tull, F; Gros, P; Schmitt, T				Ehl, Stefan; Dalstein, Vivian; Tull, Fabienne; Gros, Patrick; Schmitt, Thomas			Specialized or opportunistic-how does the high mountain endemic butterfly Erebia nivalis survive in its extreme habitats?	INSECT SCIENCE																						0	0						1672-9609	1744-7917				FEB	2018	25	1					161	171		10.1111/1744-7917.12400								WOS:000423106500015	27628710					
J	Messamah, B; Kellermann, V; Malte, H; Loeschcke, V; Overgaard, J				Messamah, Branwen; Kellermann, Vanessa; Malte, Hans; Loeschcke, Volker; Overgaard, Johannes			Metabolic cold adaptation contributes little to the interspecific variation in metabolic rates of 65 species of Drosophilidae	JOURNAL OF INSECT PHYSIOLOGY																						1	1						0022-1910	1879-1611				APR	2017	98						309	316		10.1016/j.jinsphys.2017.02.003								WOS:000400715400039	28193478					
J	Ranga, P; Prakash, R; Mrinal, N				Ranga, Poonam; Prakash, Ravi; Mrinal, Nirotpal			Sibling Drosophila species (Drosophila leontia and Drosophila kikkawai) show divergence for thermotolerance along a latitudinal gradient	EVOLUTIONARY ECOLOGY																						1	1						0269-7653	1573-8477				FEB	2017	31	1					93	117		10.1007/s10682-016-9880-1								WOS:000394017000007						
J	Jakobs, R; Ahmadi, B; Houben, S; Gariepy, TD; Sinclair, BJ				Jakobs, Ruth; Ahmadi, Banafsheh; Houben, Sarah; Gariepy, Tara D.; Sinclair, Brent J.			Cold tolerance of third-instar Drosophila suzukii larvae	JOURNAL OF INSECT PHYSIOLOGY																						2	2						0022-1910	1879-1611				JAN	2017	96						45	52		10.1016/j.jinsphys.2016.10.008								WOS:000392686100007	27765625					
J	Wallingford, AK; Loeb, GM				Wallingford, Anna K.; Loeb, Gregory M.			Developmental Acclimation of Drosophila suzukii (Diptera: Drosophilidae) and Its Effect on Diapause and Winter Stress Tolerance	ENVIRONMENTAL ENTOMOLOGY																						10	10						0046-225X	1938-2936				AUG	2016	45	4					1081	1089		10.1093/ee/nvw088								WOS:000381911600038	27412194					
J	Rossi-Stacconi, MV; Kaur, R; Mazzoni, V; Ometto, L; Grassi, A; Gottardello, A; Rota-Stabelli, O; Anfora, G				Rossi-Stacconi, Marco Valerio; Kaur, Rupinder; Mazzoni, Valerio; Ometto, Lino; Grassi, Alberto; Gottardello, Angela; Rota-Stabelli, Omar; Anfora, Gianfranco			Multiple lines of evidence for reproductive winter diapause in the invasive pest Drosophila suzukii: useful clues for control strategies	JOURNAL OF PEST SCIENCE																Ometto, Lino/C-3609-2008; Rota-Stabelli, Omar/G-8477-2011	Ometto, Lino/0000-0002-2679-625X; Rota-Stabelli, Omar/0000-0002-0030-7788; Kaur, Rupinder/0000-0002-2132-8107; ANFORA, Gianfranco/0000-0003-2545-1409					20	20						1612-4758	1612-4766				JUL	2016	89	3			SI		689	700		10.1007/s10340-016-0753-8								WOS:000379804000009						
J	Wallingford, AK; Lee, JC; Loeb, GM				Wallingford, Anna K.; Lee, Jana C.; Loeb, Gregory M.			The influence of temperature and photoperiod on the reproductive diapause and cold tolerance of spotted-wing drosophila, Drosophila suzukii	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA																						7	7						0013-8703	1570-7458				JUN	2016	159	3					327	337		10.1111/eea.12443								WOS:000378637400005						
J	Slotsbo, S; Sorensen, JG; Holmstrup, M; Kostal, V; Kellermann, V; Overgaard, J				Slotsbo, Stine; Sorensen, Jesper G.; Holmstrup, Martin; Kostal, Vladimir; Kellermann, Vanessa; Overgaard, Johannes			Tropical to subpolar gradient in phospholipid composition suggests adaptive tuning of biological membrane function in drosophilids	FUNCTIONAL ECOLOGY																Kostal, Vladimir/G-6688-2014; Sorensen, Jesper/J-3190-2013; Holmstrup, Martin/E-8731-2017; Overgaard, Johannes/I-7493-2013	Kostal, Vladimir/0000-0002-4994-5123; Sorensen, Jesper/0000-0002-9149-3626; Holmstrup, Martin/0000-0001-8395-6582; Slotsbo, Stine/0000-0001-9974-0014					8	8						0269-8463	1365-2435				MAY	2016	30	5					759	768		10.1111/1365-2435.12568								WOS:000375941800010						
J	Garantonakis, N; Varikou, K; Birouraki, A				Garantonakis, N.; Varikou, K.; Birouraki, A.			Spread of Drosophila suzukii in orchards of Crete	ENTOMOLOGIA GENERALIS																						2	2						0171-8177	2363-7102					2016	36	1					63	70		10.1127/entomologia/2016/0261								WOS:000382904900006						
