PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Borger, L; Franconi, N; Ferretti, F; Meschi, F; De Michele, G; Gantz, A; Coulson, T				Borger, Luca; Franconi, Novella; Ferretti, Francesco; Meschi, Fiora; De Michele, Giampiero; Gantz, Alberto; Coulson, Tim			An integrated approach to identify spatiotemporal and individual-level determinants of animal home range size	AMERICAN NATURALIST												Animal home range use is a central focus of ecological research. However, how and why home range size varies between individuals is not well studied or understood for most species. We develop a hierarchical analytical approach-using generalized linear mixed-effects modeling of time series of home range sizes- that allows variance in home range size to be decomposed into components due to variation in temporal, spatial, and individual-level processes, also facilitating intra-and interspecific comparative analyses. We applied the approach to data from a roe deer population radiotracked in central Italy. Over multiple timescales, temporal variation is explained by photoperiod and climate and spatial variation by the distribution of habitat types and spatial variance in radio-tracking error. Differences between individuals explained a substantial amount of variance in home range size, but only a relatively minor part was explained by the individual attributes of sex and age. We conclude that the choice of temporal scale at which data are collected and the definition of home range can significantly influence biological inference. We suggest that the appropriate choice of scale and definition requires a good understanding of the ecology and life history of the study species. Our findings contrast with several common assumptions about roe deer behavior.				Borger, Luca/C-6003-2008	Borger, Luca/0000-0001-8763-5997; Ferretti, Francesco/0000-0002-0414-1615; Coulson, Tim/0000-0001-9371-9003												0003-0147	1537-5323				OCT	2006	168	4					471	485		10.1086/507883								WOS:000240855500004	17004219					
J	Ulmer, BJ; Jacas, JA; Pena, JE; Duncan, RE; Castillo, J				Ulmer, B. J.; Jacas, J. A.; Pena, J. E.; Duncan, R. E.; Castillo, J.			Effect of temperature on life history of Aprostocetus vaquitarum (Hymenoptera : Eulophidae), an egg parasitoid of Diaprepes abbreviatus (Coleoptera : Curculionidae)	BIOLOGICAL CONTROL												The effect of temperatures ranging from 5 to 40 degrees C on Aprostocetus vaquitarum Wolcott (Hymenoptera: Eulophidae) oviposition and development were investigated. There were significant differences in the rate of development among the temperatures for all life stages. The egg stage lasted approximately 7 times longer at 15 than at 25 or 30 degrees C and the larval stage, consisting of 4 instars, took significantly less time at each increasing temperature from 15 to 30 degrees C. A. vaquitarum development from egg to adult took 16.3 days at 30 degrees C, significantly faster than the other temperatures tested. At 15 degrees C A. vaquitarum reached the pupal stage after a mean of 41.6 days but did not successfully complete pupation. A. vaquitarum eggs hatched on 66% of the parasitized egg masses at 35 degrees C but did not survive past the first instar. A. vaquitarum did not develop past the egg stage at 5 or 40 degrees C. Host Diaprepes abbreviatus L. (Coleoptera: Curculionidae) eggs also did not survive at temperatures of 35 and 40 degrees C on live plants. Upper and lower temperature thresholds for A. vaquitarum development were calculated to be 33.0 and 16.0 degrees C, respectively. Maximum development rate occurred at 30.9 degrees C and a thermal constant of 494.2 DD was calculated. Photoperiods ranging from 10L:14D to 16L:8D did not significantly affect development time from egg to adult at 25 degrees C. Oviposition was significantly higher at 30 degrees C than at the other temperatures tested; oviposition was also relatively high at 25 and 35 degrees C and several eggs were laid at 20 degrees C. Relatively cool winter temperatures in central Florida may be contributing to the limited range of A. vaquitarum in the state. (c) 2006 Elsevier Inc. All rights reserved.				Jaques, Josep A./B-8352-2009	Jaques, Josep A./0000-0003-1353-1727												1049-9644					OCT	2006	39	1					19	25		10.1016/j.biocontrol.2006.03.002								WOS:000240905700003						
J	Kleszczynska, A; Vargas-Chacoff, L; Gozdowska, M; Kalamarz, H; Martinez-Rodriguez, G; Mancera, JM; Kulczykowska, E				Kleszczynska, Agnieszka; Vargas-Chacoff, Luis; Gozdowska, Magdalena; Kalamarz, Hanna; Martinez-Rodriguez, Gonzalo; Mancera, Juan Miguel; Kulczykowska, Ewa			Arginine vasotocin, isotocin and melatonin responses following acclimation of gilthead sea bream (Sparus aurata) to different environmental salinities	COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY												Gilthead sea bream (Sparus aurata) is a euryhaline species with a capacity to cope with demands in a wide range of salinities and thus is a perfect model-fish to study osmoregulatory responses to salinity-adaptive processes and their hormonal control. Immature sea bream acclimated to different salinities, i.e. SW (38 parts per thousand), LSW (5 parts per thousand) and HSW (55 parts per thousand), were kept at 18 degrees C under natural photoperiod. Arginine vasotocin (AVT) and isotocin (IT) in plasma and pituitary were determined by HPLC. Plasma melatonin (Mel) was assayed by RIA. Plasma osmolality, ion concentrations (Na+, K+, Ca2+, Cl-) and Na+,K+-ATPase activity in gill were measured. A steady increase in plasma AVT, along with increasing water salinity was observed. Pituitary IT concentration in HSW-acclimated fish was significantly higher than that in LSW group. AVT/IT secretory system of sea bream does appear to be involved in the mechanism of long-term acclimation to different salinities. The distinct roles and control mechanisms of both nonapeptides are suggested. Plasma Mel was significantly higher in LSW compared with both HSW and SW groups. Data indicate that the changes in Met level are linked to osmoregulation. Further studies are required to elucidate a complex role of AVT, IT and Mel in sea bream osmoregulation. (c) 2006 Elsevier Inc. All rights reserved.				MARTINEZ-RODRIGUEZ, GONZALO/A-2564-2009; Gozdowska, Magdalena/A-4169-2018; Mancera, Juan/A-8132-2014	MARTINEZ-RODRIGUEZ, GONZALO/0000-0003-3379-580X; Gozdowska, Magdalena/0000-0002-7927-2230; Mancera, Juan/0000-0003-0751-5966; Kalamarz-Kubiak, Hanna/0000-0002-1904-7146												1095-6433	1531-4332				OCT	2006	145	2					268	273		10.1016/j.cbpa.2006.06.037								WOS:000241222500015	16949846					
J	Johansen, TJ; Meadow, R				Johansen, Tor J.; Meadow, Richard			Population differences in emergence of Brassica root flies (Diptera : Anthomyiidae)	ENVIRONMENTAL ENTOMOLOGY												Accurate timing of pest control measures requires a good understanding of the emergence pattern of the specific pest populations. In 1999-2000, pupae of the cabbage maggot, Delia radicum L., and the turnip maggot, D. floralis Fallen, were collected in the autumn from nine widespread locations in Norway (58-70 degrees N). After diapause development during winter, emergence was studied in a climate chamber at 18 degrees C. The time to 50% emergence was < 2 wk for all populations of D. radicum, and the emergence period (time elapsed between 10 and 90% emergence) was similar to 4 d on average. The results indicated uniform and early emerging populations of this species. D. floralis, however, had much later emergence, with a wide range of emerging biotypes. The time to 50% emergence of D.floralis varied from 5 to 10 wk between populations. Moreover, the emergence period varied between 2 and 7 wk for the different populations, indicating mixtures of differently emerging biotypes. The ecological basis for the diverging emergence patterns is discussed.																	0046-225X					OCT	2006	35	5					1161	1165		10.1603/0046-225X(2006)35[1161:PDIEOB]2.0.CO;2								WOS:000241170600003						
J	Dudai, N; Putievsky, E; Chaimovitch, D; Ben-Hur, M				Dudai, N.; Putievsky, E.; Chaimovitch, D.; Ben-Hur, M.			Growth management of vetiver (Vetiveria zizanioides) under Mediterranean conditions	JOURNAL OF ENVIRONMENTAL MANAGEMENT												In spite of the advantages of Vetiver grass in light of environmental aspects, this plant is not used in the Mediterranean region. The objectives of the present study were: (i) to elucidate growth parameters and establishment of Vetiver under Mediterranean conditions suitable for its various environmental applications; and (ii) to develop management practices for growing vetiver under Mediterranean conditions. In greenhouse experiments conducted under controlled conditions it was found that, in general, increasing the minimum/maximum temperatures to 21-29 degrees C significantly increased plant height. In the Mediterranean region, this range of air temperatures is obtained mainly during the summer, from June to September. For air temperatures up to 15-23 degrees C the effect of day length on plant height was insignificant, whereas in air temperature > 15-23 degrees C, the plant heights under long day conditions were significantly higher than under short day. The number of sprouts per plant increased exponentially with increasing air temperature, and was not significantly affected by the day length at any air temperature range. In open fields, the heights of irrigated vetiver plants were significantly higher than those of rain-fed plants. It was concluded that, once they were established, vetiver plants could survive the dry slimmer of the Mediterranean region under rain-fed conditions, but they would be shorter than under irrigation. Cutting or burning of the plant foliage during the spring did not improve the survival of vetiver during the dry summer. In order to obtain fast growth of vetiver and to increase the possibility of its using the rainwater, the plants should be planted in the winter, during February and March. However, under this regime, the vetiver plant cannot be used as a soil stabilizer during the first winter, because the plant is still small. In contrast, under irrigation it is advantageous to plant vetiver at the beginning of the summer; the plant then has sufficient time to grow and develop before the beginning of the winter, so that its effect as a soil stabilizer in the following wet winter could be maximal. It was found that vetiver could grow in a wide range of substrates, such as: sandy soil, loamy sand, clay soil, crushed limestone, sandy clay loam, and tuff/peat mixture. (c) 2006 Elsevier Ltd. All rights reserved.																	0301-4797	1095-8630				OCT	2006	81	1					63	71		10.1016/j.jenvman.2005.10.014								WOS:000240768600008	16551491					
J	Morera, AL; Abreu, P				Morera, A. L.; Abreu, P.			Seasonality of psychopathology and circannual melatonin rhythm	JOURNAL OF PINEAL RESEARCH												The association of seasonal changes in health and disease has been known for centuries. The prevalence of psychopathological symptoms with seasonal fluctuations and the use of melatonin as a biological marker of circadian and circannual rhythms is well documented. The aim of this work was to study the variability of melatonin secretion between summer and winter in our geographical area (28 degrees N, 16 degrees W) and relate the changes to the level of psychopathology. Ten drug-free, nonsmoker, healthy subjects were studied in summer (August) and winter (December). Blood samples for melatonin assays were collected every hour at night for 5 hr, from 22:00 to 02:00 hr, and next day at noon. Melatonin was assayed by an ELISA technique. Psychopathology was evaluated by means of the 28-item version of the General Health Questionnaire (GHQ-28). All subjects had a circadian rhythm of melatonin secretion in summer and winter. There was a seasonal rhythm with melatonin levels being significantly higher at night in winter than in summer. Melatonin levels at 22:00, 23:00, 24:00 and 01:00 hr and mean melatonin area under the curve (AUC) were significantly higher in winter than in summer. Melatonin AUC increased 80% in winter compared with summer. The GHQ-28 somatic and anxiety subscales and the total GHQ-28 score were significantly higher in winter than summer. Psychopathology scores were significantly and negatively correlated with melatonin production in summer and winter. Our data strongly suggest that melatonin production and psychopathology levels present seasonal fluctuations and these variations should be taken into account when conducting research in this field.				Morera-Fumero, Armando/D-2775-2013	Morera-Fumero, Armando/0000-0002-7663-1154												0742-3098					OCT	2006	41	3					279	283		10.1111/j.1600-079X.2006.00365.x								WOS:000240292100012	16948790					
J	Chen, YH; Opp, SB; Berlocher, SH; Roderick, GK				Chen, Yolanda H.; Opp, Susan B.; Berlocher, Stewart H.; Roderick, George K.			Are bottlenecks associated with colonization? Genetic diversity and diapause variation of native and introduced Rhagoletis completa populations	OECOLOGIA												The success of invasive species appears to be a paradox: despite experiencing strong population bottlenecks, invasive species are able to successfully establish in new environments. We studied how the walnut husk fly, Rhagoletis completa, was able to successfully colonize California from the Midwestern United States, by examining genetic diversity and diapause variation of native and introduced fly populations. Climate plays an important role in the successful establishment of introduced insects, because insect diapause is highly dependent upon external climatic conditions. We examined if: (1) fly populations show signs of a population bottleneck, (2) native and introduced flies differ in diapause length when exposed to California and Midwestern climatic conditions, and (3) population genetic diversity is related to variation in diapause length. We assessed if fly diapause conformed more to a model of establishment by local adaptation or to a model of a highly plastic "general-purpose genotype". Our results indicate that only two populations close to the original introduced location showed signs of a population bottleneck, and native and introduced populations did not differ in genetic diversity. Genetic diversity increased in the northern introduced populations, suggesting that multiple introductions have occurred. Flies emerged about 2 weeks earlier under the Midwestern treatment than the California treatment, and introduced flies emerged about a week earlier than native flies. All flies emerged when walnuts are typically available in California. Although variance in diapause length differed between populations, it did not vary between populations or regions. Furthermore, genetic diversity was not associated with diapause variation. Therefore, multiple introductions and a "general-purpose genotype" appear to have facilitated the fly's invasion into California.				Chen, Yolanda/K-6566-2014	Chen, Yolanda/0000-0001-9439-5899; Roderick, George/0000-0001-7557-2415												0029-8549					OCT	2006	149	4					656	667		10.1007/s00442-006-0482-4								WOS:000240799700010	16858586					
J	Knox, KJE; Clarke, PJ				Knox, K. J. E.; Clarke, P. J.			Fire season and intensity affect shrub recruitment in temperate sclerophyllous woodlands	OECOLOGIA												The season in which a fire occurs may regulate plant seedling recruitment because of: (1) the interaction of season and intensity of fire and the temperature requirements for seed release, germination and growth; (2) post-fire rainfall and temperature patterns affecting germination; (3) the interaction of post-fire germination conditions and competition from surrounding vegetation; and (4) the interaction of post-fire germination conditions and seed predators and/or seedling herbivores. This study examined the effects of different fire intensities and fire seasons on the emergence and survival of shrubs representing a range of fire response syndromes from a summer rainfall cool climate region. Replicated experimental burns were conducted in two seasons (spring and autumn) in 2 consecutive years and fuel loads were increased to examine the effects of fire intensity (low intensity and moderate intensity). Post-fire watering treatments partitioned the effects of seasonal temperature from soil moisture. Higher intensity fires resulted in enhanced seedling emergence for hard-seeded species but rarely influenced survival. Spring fires enhanced seedling emergence across all functional groups. Reduced autumn recruitment was related to seasonal temperature inhibiting germination rather than a lack of soil moisture or competition. In Mediterranean-type climate regions, seedling emergence has been related to post-fire rainfall and exposure of seeds to seed predators. We think a similar model may operate in temperate summer rainfall regions where cold-induced dormancy over winter exposes seeds to predators for a longer time and subsequently results in recruitment failure. Our results support the theory that the effect of fire season is more predictable where there are strong seasonal patterns in climate. In this study seasonal temperature rather than rainfall appears to be more influential.				Clarke, Peter/D-6403-2012													0029-8549					OCT	2006	149	4					730	739		10.1007/s00442-006-0480-6								WOS:000240799700017	16847616					
J	Moser, JC				Moser, John C.			Complete excavation and mapping of a Texas leakutting ant nest	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA												A medium-sized nest of the Texas leafcutting ant, Atta texana (Buckley), in northern Louisiana was excavated completely, and a three-dimensional model of its external and subterranean features was constructed. In total, 97 fungus gardens, 27 dormancy cavities, and 45 detritus cavities were located. At the lower center of the funnel-shaped nest was a large central cavity, which in winter functions as a domicile for the colony and where the alate brood is reared. Vertical tunnels, possibly as deep as 32 in, may serve as wells leading to the water table. Winter mean annual temperatures within the central cavity may limit the northern geographical range of A. texana to approximate to 33 degrees N latitude. The inquilines Attaphila fungicola Wheeler, Pholeomyia comans Sabrosky, Ceuthophilm sp., Lobopoda subcuneatus Campbell, Geomysaprinus nr. formicus (Hinton), species of Aleocharinae, and a species of Annelida were seen in nest cavities and galleries.																	0013-8746					SEP	2006	99	5					891	897		10.1603/0013-8746(2006)99[891:CEAMOA]2.0.CO;2								WOS:000240607100019						
J	Branstrator, DK; Brown, ME; Shannon, LJ; Thabes, M; Heimgartner, K				Branstrator, Donn K.; Brown, Meghan E.; Shannon, Lyle J.; Thabes, Marte; Heimgartner, Katie			Range expansion of Bythotrephes longimanus in North America: Evaluating habitat characteristics in the spread of an exotic zooplankter	BIOLOGICAL INVASIONS												Sedimentary and water column evidence from 45 boat-accessible and eight backcountry lakes was used to investigate the distribution of Bythotrephes longimanus in northeast Minnesota, USA, and adjacent Ontario, Canada. The results expand the documented range of Bythotrephes in Minnesota from Lake Superior, Island Lake, and Saganaga Lake to Flour Lake, Greenwood Lake, McFarland Lake, Pine Lake, and Caribou Lake as well as to Saganagons Lake in Ontario. The latter three lakes are located in roadless landscapes without motorized boat access. Results confirm that Bythotrephes is no longer present in Boulder Lake or Fish Lake (St. Louis County, Minnesota), providing the first evidence of range compression (extinction following introduction) of this species in North America. Distributional expansion was confined to a corridor along the international border between northeast Minnesota and Ontario. Lakes along the invasion corridor were deeper, more transparent, and had lower chlorophyll concentration, on average, compared to other lakes studied. The pattern of range expansion provided an opportunity to test the predictions of a forecasting model for Bythotrephes occurrence (MacIsaac et al. 2000 Archiv fur Hydrobiologie 149: 1-21) based on habitat characteristics. The model predicted 51% of the surveyed inland lakes to be susceptible to invasion, however, only 13% were actually invaded, implying strong dispersal constraints. Application of the forecasting model to a broader set of 179 Minnesota lakes predicted that 41% may be vulnerable to establishment by Bythotrephes based on habitat characteristics, offering an estimate of the state's overall lake susceptibility (i.e., fundamental niche) to invasion. The results of this study provide evidence for the importance of a low-light refuge where Bythotrephes can minimize vulnerability to fish predation as a key habitat feature not considered by the forecasting model.																	1387-3547	1573-1464				SEP	2006	8	6					1367	1379		10.1007/s10530-005-5278-7								WOS:000241377700015						
