"popid"	"lower_cdl"	"med_cdl"	"upper_cdl"	"order.x"	"lower_r"	"med_r"	"upper_r"	"lower_s"	"med_s"	"upper_s"	"lower_b"	"med_b"	"upper_b"	"lower_w"	"med_w"	"upper_w"	"lower_e"	"med_e"	"upper_e"	"ID"	"PY"	"pops_left_drc"	"region"	"genus"	"spec"	"nmethod"	"degN"	"degE"	"n_pp"	"day"
"1"	"beach.14.Aedes.atropalpus"	11.1458380821301	11.3630818937348	11.697687954519	"Diptera"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"beach"	1978	"3"	"US"	"Aedes"	"atropalpus"	"global average"	14.3	-89.466667	7	356
"2"	"beach.34.Aedes.atropalpus"	12.6380096184817	12.9137774723079	12.9825256040944	"Diptera"	0.738358807680551	0.839560864302215	0.920265546902953	0.246521606136443	0.249418401459721	0.250163082865127	0.182312040449291	0.209337404754017	0.230064345944432	0.0199331760674124	0.039999718826904	0.0645880665643452	242.020999369938	243.16212181538	267.509934588345	"beach"	1978	"3"	"US"	"Aedes"	"atropalpus"	"global average"	34.725	-83.370278	5	336
"3"	"beach.45.Aedes.atropalpus"	14.0505390742952	14.5066319475429	14.9570659717746	"Diptera"	0.714176968740203	0.795501326944008	0.865884744384433	0.245571625346765	0.248401408142593	0.249757251739377	0.175614781646051	0.197580881667193	0.21607306992875	0.033448207223133	0.0507816805895328	0.0702895641335436	207.459780292786	218.878855639708	230.516745830507	"beach"	1978	"3"	"US"	"Aedes"	"atropalpus"	"global average"	45.472222	-76.194444	7	309
"4"	"bradshaw.CB.Wyeomyia.smithii"	14.0218164312541	14.0570893418082	14.093077845111	"Diptera"	0.843292588201131	0.863429161997487	0.881649484129146	0.250112648900612	0.250188682880199	0.250215252872975	0.210962974920809	0.216015002840832	0.220589577541183	0.0296102115987711	0.0341685040532517	0.0392042080756632	205.020047903829	206.74342351577	208.327649757772	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	35.1	-82.4	20	270
"5"	"bradshaw.CR.Wyeomyia.smithii"	12.2624078566224	12.3044538640968	12.3443180944132	"Diptera"	0.816099815294351	0.853045697759018	0.880208288339024	0.249631400329445	0.250062263755709	0.250209147928788	0.203769598283099	0.213303857018314	0.220215486688729	0.0299647784511443	0.0367492950109087	0.0459306298500142	259.959087970176	261.245207556795	262.574661858215	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	30.8	-86.5	16	304
"6"	"bradshaw.DB.Wyeomyia.smithii"	13.8230597938705	13.8610731443403	13.899297950147	"Diptera"	0.791023045754075	0.817383019728098	0.840986156028102	0.249196345961291	0.249608073113349	0.249881736511105	0.197204114021426	0.204018829495122	0.210073258696911	0.0397179820291546	0.0455824845183495	0.0521151728675505	213.288003812385	214.754275850065	216.102136646142	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	35	-83	20	270
"7"	"bradshaw.DL.Wyeomyia.smithii"	15.5645007343328	15.6033576596277	15.642747603035	"Diptera"	0.796137713656373	0.839268238368846	0.87280326240193	0.24858005919414	0.249488331737951	0.249938658052869	0.198013417718118	0.209397860900202	0.218115688670263	0.0317914355973618	0.0401009381409336	0.0507034694119799	203.402685323656	204.356505017229	205.293870991688	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	49.5	-94.1	16	253
"8"	"bradshaw.GS.Wyeomyia.smithii"	12.702836376521	12.7435484743076	12.7847179350362	"Diptera"	0.818598907206682	0.844409375322322	0.866193747703151	0.250056258423281	0.250174710376155	0.250211742956683	0.204760103772546	0.211242129588565	0.216708928380299	0.0334753222468379	0.0389213051644553	0.0453819063759717	247.964501834876	249.133402061878	250.267661086248	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	34.1	-78.3	21	339
"9"	"bradshaw.HK.Wyeomyia.smithii"	13.8232633290365	13.8591654917187	13.8940844049248	"Diptera"	0.841992526018037	0.864871751745569	0.88488139370897	0.249946316776826	0.250099603197433	0.250184535859986	0.210517828978286	0.216295694245172	0.221346366374871	0.0287997273512046	0.0337932028166824	0.0395064912499228	213.510376551982	214.815735733461	216.029859494698	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	35	-83.2	20	270
"10"	"bradshaw.HV.Wyeomyia.smithii"	13.6510233491518	13.6891305873633	13.7283954190566	"Diptera"	0.788482430727566	0.823105214218737	0.852706511886697	0.249566798251646	0.249956129859566	0.25016443853807	0.196930997937285	0.205729371416546	0.213229127092676	0.0368175697979103	0.0442067261871728	0.0528389493528215	228.35119928335	229.333209438993	230.326515529216	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	39.6	-74.5	16	270
"11"	"bradshaw.KC.Wyeomyia.smithii"	15.3068066172195	15.350064537061	15.3930993457768	"Diptera"	0.754861232938997	0.794532605271401	0.830058060839714	0.248804313351988	0.249623426440387	0.250078871767444	0.187898629564753	0.198311797623961	0.207501053853693	0.0424775021121439	0.0512819637228027	0.0610422279487135	196.631778122759	198.50710562621	200.136001365805	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	46.2	-68.3	16	251
"12"	"bradshaw.LI.Wyeomyia.smithii"	12.2050497211051	12.2605186881748	12.3157604380313	"Diptera"	0.766279699437254	0.810798028452476	0.843829999778819	0.249420265167081	0.250082803812546	0.250208162270354	0.191267085767909	0.202747425147984	0.211118287752479	0.0390753545947297	0.0473201033931903	0.0583572626704199	260.598178141458	262.419054920901	264.222109018167	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	30.4	-87.5	16	305
"13"	"bradshaw.ML.Wyeomyia.smithii"	15.176153962299	15.2130193466181	15.2503037642491	"Diptera"	0.758178050436985	0.795841583836524	0.829766420293676	0.247553483753582	0.248668380840865	0.249373676831973	0.187787486855225	0.197900061299066	0.206857815046753	0.0424511426275903	0.0507664053740352	0.0598909208529581	201.635641219504	202.790903638119	203.868180888137	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	46	-89.6	16	251
"14"	"bradshaw.MM.Wyeomyia.smithii"	13.5970027286587	13.6409543215247	13.6847929948298	"Diptera"	0.813291585790563	0.844452086535691	0.869673516324975	0.249978892509812	0.250162767764402	0.250212480334704	0.203449908707188	0.211232508104418	0.217586362981774	0.0326021112109703	0.0389080979637937	0.0467148886870552	229.415233170198	230.569222645551	231.726442603847	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	39.8	-74.6	16	270
"15"	"bradshaw.NP.Wyeomyia.smithii"	13.3533407994064	13.3946064357228	13.4337736902207	"Diptera"	0.864772902653239	0.885536963702195	0.903150742919018	0.25015389309414	0.250214184228425	0.250224585335428	0.216342828976332	0.22156899779922	0.225985100064369	0.0242340963729482	0.0286379271127087	0.0338347053706943	233.883636996748	234.959284378737	236.017042368064	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	38.3	-75.4	20	295
"16"	"bradshaw.PB.Wyeomyia.smithii"	13.6882241303095	13.7335836448507	13.7759383080554	"Diptera"	0.828824355554595	0.858553262311071	0.881181804884347	0.25007236078653	0.250193787761662	0.250217268963786	0.20731401263842	0.214788302030684	0.220479314455668	0.0297274039790348	0.0353852404169079	0.0428142998123983	227.999519021921	229.100401198985	230.203701306171	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	40.3	-74.3	16	270
"17"	"bradshaw.PM.Wyeomyia.smithii"	12.965390606545	13.0076841206214	13.050631729218	"Diptera"	0.823637760810752	0.84790252209944	0.868535273525383	0.249957526897095	0.250119712492073	0.25020074021471	0.205972701665745	0.212072120622351	0.217250711624796	0.0328846782398341	0.0380411491077701	0.044106493364209	241.216397662981	242.469618598059	243.719179879855	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	35.1	-79.9	20	298
"18"	"bradshaw.TH.Wyeomyia.smithii"	14.3211132425774	14.3659703274907	14.4111750037389	"Diptera"	0.740878162242366	0.782078729769854	0.818975418215269	0.247083989351441	0.248463266224641	0.249347870056741	0.183123973278538	0.194293782896777	0.204153225022189	0.0451324476571319	0.0541438323076686	0.064050043168376	212.491446318068	213.847989311088	215.100265651864	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	41.2	-75.3	16	270
"19"	"bradshaw.WI.Wyeomyia.smithii"	12.0541704403788	12.1163780674252	12.1800414912291	"Diptera"	0.708575134432962	0.76124825883311	0.7998378087285	0.249585976748205	0.250150401098165	0.250196099287142	0.17688387617644	0.190403580502154	0.200092192066108	0.0500624023643497	0.0597203901581212	0.0727440139214981	265.005084412256	267.134032666608	269.21340072122	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	30.1	-85	16	305
"20"	"chen.GZ.Helicoverpa.armigera"	13.0541131482824	13.4834523603622	13.9245985255525	"Lepidoptera"	0.0503243553567785	0.0798072311276183	0.112734588450074	0.0553791344410555	0.0752212721177481	0.0969484093667543	0.0029273764667218	0.00596771858522563	0.0107259211549882	0.0521661588013953	0.0692267003272706	0.086530729903767	174.405803811101	198.646923502882	223.614144767098	"chen"	2013	"5"	"Asia"	"Helicoverpa"	"armigera"	"global average"	23.08	113.14	6	322
"21"	"chen.KZ.Helicoverpa.armigera"	13.9166164295355	13.9936769498983	14.0237101622963	"Lepidoptera"	0.823811001383356	0.919907301315656	0.967337410810365	0.249647904279543	0.250133699982874	0.250233393402539	0.205964545955111	0.230040278836339	0.242041556747186	0.00817280659816152	0.0200302751317847	0.0440691790161194	223.659151546334	224.027431624592	226.195551062139	"chen"	2013	"5"	"Asia"	"Helicoverpa"	"armigera"	"global average"	41.34	120.27	6	292
"22"	"chen.LF.Helicoverpa.armigera"	14.0137065122232	14.2087283641624	14.3849876106436	"Lepidoptera"	0.66182634214652	0.789567319656896	0.874082607274646	0.249269714224933	0.250124128381973	0.250211100443684	0.165290605068469	0.197374640479037	0.21866437368439	0.0315002230155099	0.0526077604389483	0.0844821274098396	211.765569285366	219.785165925803	219.994170492135	"chen"	2013	"5"	"Asia"	"Helicoverpa"	"armigera"	"global average"	39.31	116.42	6	294
"23"	"chen.TA.Helicoverpa.armigera"	13.1848421937057	13.5808273760261	13.9721602332305	"Lepidoptera"	0.603478107045663	0.695903668397074	0.781869098682442	0.244208173182475	0.247898000456733	0.249776840002962	0.148853615631725	0.17234844442269	0.194228459880804	0.0540737151177488	0.0753546676980515	0.0977737333285709	213.071140360313	225.380568017005	243.235840542853	"chen"	2013	"5"	"Asia"	"Helicoverpa"	"armigera"	"global average"	36.15	116.59	6	297
"24"	"chen.YX.Helicoverpa.armigera"	11.9558306989743	12.7366556303102	13.5274367290612	"Lepidoptera"	0.238708177280795	0.328274114330569	0.440607681576563	0.183402796896959	0.220409320748436	0.249586718448418	0.0462579974490361	0.0723677405839424	0.107043393312365	0.126476696854423	0.147758655411041	0.168876444961711	186.388662626085	239.556982414021	272.675303250873	"chen"	2013	"5"	"Asia"	"Helicoverpa"	"armigera"	"global average"	29.04	116.82	6	307
"25"	"fimmuro.Iwate1.Haplothrips.brevitubus"	14.0334533270908	14.9119161527912	15.8527163972376	"Thysanoptera"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	39.701944	141.154444	11	320
