id	dl	perc	n
grand_beach	12	100	18
grand_beach	14	65	11
grand_beach	15	0	18
grand_beach	16	0	18
brownstown	10	100	49
brownstown	12	100	22
brownstown	13	100	21
brownstown	14	90	20
brownstown	16	0	22
ithaca	10	100	25
ithaca	12	100	62
ithaca	13	36	44
ithaca	14	0	63
ithaca	15	0	43
ithaca	16	0	39
dinosaur	10	100	57
dinosaur	12	100	16
dinosaur	13	100	20
dinosaur	14	25	24
dinosaur	16	0	20
loveland	10	100	12
loveland	12	86	14
loveland	13	93	15
loveland	14	10	10
loveland	15	0	20
loveland	16	0	20
manhattan	10	100	24
manhattan	12	100	38
manhattan	13	13	38
manhattan	14	0	37
manhattan	15	0	35
manhattan	16	0	37
lubbock	12	100	12
lubbock	13	27	11
lubbock	14	0	12
college	10	100	12
college	11	100	16
college	12	100	19
college	13	80	20
college	14	0	18
college	16	0	6
quincy	10	100	12
quincy	11	100	11
quincy	12	92	12
quincy	13	36	11
quincy	14	0	12
saltillo	10	50	8
saltillo	11	33	6
saltillo	12	0	8
saltillo	13	0	8
saltillo	14	0	8
