ID;PY;pops_left_drc;region;genus;spec;order;nmethod;pop;degN;degE;n_pp;perc;n2;dl2;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;14;14.3;-89.466667;7;90.02770083;90;10;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;14;14.3;-89.466667;7;67.31301939;90;11;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;14;14.3;-89.466667;7;20.77562327;90;12;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;14;14.3;-89.466667;7;5.817174515;90;13;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;14;14.3;-89.466667;7;5.540166205;90;14;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;14;14.3;-89.466667;7;5.263157895;90;15;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;14;14.3;-89.466667;7;5.817174515;90;16;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;34;34.725;-83.370278;5;100.0049811;90;10;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;34;34.725;-83.370278;5;99.54921299;90;12;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;34;34.725;-83.370278;5;20.00149432;90;13;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;34;34.725;-83.370278;5;6.208906157;90;14;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;34;34.725;-83.370278;5;5.486650727;90;16;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;45;45.472222;-76.194444;7;100;90;10;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;45;45.472222;-76.194444;7;100.3151061;90;11;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;45;45.472222;-76.194444;7;100.088584;90;12;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;45;45.472222;-76.194444;7;98.78639855;90;13;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;45;45.472222;-76.194444;7;97.49433695;90;14;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;45;45.472222;-76.194444;7;14.2443148;90;15;
beach;1978;3;US;Aedes;atropalpus;Diptera;global average;45;45.472222;-76.194444;7;6.469166424;90;16;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;0;105;12;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;0;105;12.25;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;0;105;12.5;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;0;105;12.75;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;0;105;13;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;0;105;13.25;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;1;105;13.5;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;9.9;105;13.75;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;44.4;105;14;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;74.1;105;14.25;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;98.9;105;14.5;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;98.9;105;14.75;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;98.8;105;15;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;98.9;105;15.25;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;100;105;15.5;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;98.9;105;15.75;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;100;105;16;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;97.4;105;16.25;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;98.9;105;16.5;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CB;35.1;-82.4;20;100;105;16.75;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CR;30.8;-86.5;16;1.1;105;11;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CR;30.8;-86.5;16;0;105;11.25;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CR;30.8;-86.5;16;5.9;105;11.5;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CR;30.8;-86.5;16;9.4;105;11.75;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CR;30.8;-86.5;16;10;105;12;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CR;30.8;-86.5;16;39.4;105;12.25;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CR;30.8;-86.5;16;84.4;105;12.5;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CR;30.8;-86.5;16;98.9;105;12.75;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CR;30.8;-86.5;16;98.9;105;13;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CR;30.8;-86.5;16;98;105;13.25;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CR;30.8;-86.5;16;100;105;13.5;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CR;30.8;-86.5;16;100;105;13.75;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CR;30.8;-86.5;16;100;105;14;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CR;30.8;-86.5;16;100;105;14.25;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CR;30.8;-86.5;16;100;105;14.5;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;CR;30.8;-86.5;16;100;105;14.75;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;0;105;12;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;0;105;12.25;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;0;105;12.5;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;0;105;12.75;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;0;105;13;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;2.1;105;13.25;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;6.5;105;13.5;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;29.4;105;13.75;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;68.4;105;14;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;94.8;105;14.25;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;96;105;14.5;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;94.5;105;14.75;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;93.6;105;15;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;93.9;105;15.25;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;91.5;105;15.5;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;93.3;105;15.75;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;100;105;16;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;94.7;105;16.25;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;98.8;105;16.5;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DB;35.0;-83.0;20;96.3;105;16.75;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DL;49.5;-94.1;16;0;105;13;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DL;49.5;-94.1;16;0;105;13.25;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DL;49.5;-94.1;16;0;105;13.5;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DL;49.5;-94.1;16;0;105;13.75;
bradshaw;2003;16;US;Wyeomyia;smithii;Diptera;global average;DL;49.5;-94.1;16;0;105;14;
