"pop" "spec" "order" "yi" "upper" "lower" "p" "vi"
"1" "kurota. Ninohe.Bruchidius.dorsalis" "dorsalis" "Coleoptera" 0.670494033508267 0.74437301225878 0.584836522048477 0.830535129980695 0.0254518917086221
"2" "kurota. Sagamihara.Bruchidius.dorsalis" "dorsalis" "Coleoptera" 0.234255641056642 0.357568183428894 0.16232292565731 0.682538775899544 0.0381207106822923
"3" "kurota. Tatsuno.Bruchidius.dorsalis" "dorsalis" "Coleoptera" 0.718869579542923 0.811231482356267 0.605868887802526 0.867140043642155 0.0421737952418442
"4" "kurota_larvae.Ninohe.Bruchidius.dorsalis" "dorsalis" "Coleoptera" 0.822337308352431 0.921419834977144 0.678772099379168 0.830174408091671 0.0588779235908252
"5" "kurota_larvae.Sagamihara.Bruchidius.dorsalis" "dorsalis" "Coleoptera" 0.682779435606244 0.801875827416136 0.56599810302777 0.681835400368867 0.0556383008626339
"6" "kurota_larvae.Tatsuno.Bruchidius.dorsalis" "dorsalis" "Coleoptera" 0.684420688513278 0.865760041732508 0.489229461682731 0.775350576742627 0.141775277712621
"7" "lehmann.Belchow.Leptinotarsa.decemlineata" "decemlineata" "Coleoptera" 0.399639209850542 0.511882765774478 0.286684293718894 1.42567952196758 0.0507143518161697
"8" "lehmann.Emmen.Leptinotarsa.decemlineata" "decemlineata" "Coleoptera" 0.225292790649082 0.353976492268636 0.111279441367037 1.04118339477058 0.0589018585163333
"9" "lehmann.Padua_A.Leptinotarsa.decemlineata" "decemlineata" "Coleoptera" 0.257577254392434 0.391596466238976 0.131298058525082 1.37814015548799 0.0677552610583886
"10" "lehmann.padua_B.Leptinotarsa.decemlineata" "decemlineata" "Coleoptera" 0.229692108506327 0.364954968131531 0.115464805278022 1.37814015548799 0.0622453413606704
"11" "lehmann.petroskoi_E.Leptinotarsa.decemlineata" "decemlineata" "Coleoptera" 0.340491155767092 0.495774402766151 0.192359119785775 1.35219011119479 0.0920608339460617
"12" "lehmann.petroskoi_F.Leptinotarsa.decemlineata" "decemlineata" "Coleoptera" 0.206865192484066 0.326980660494453 0.104352905953238 0.978738317986068 0.0495631170920635
"13" "reznik. Daegu.Harmonia.axyridis" "axyridis" "Coleoptera" 0.674884834747687 0.916616717768306 0.326557987305356 0.806970982020855 0.348169305395548
"14" "reznik. Irkutsk.Harmonia.axyridis" "axyridis" "Coleoptera" 0.398388786858322 0.693257525408501 0.12989857500065 0.998530444777782 0.317373307004636
"15" "reznik. Pardubice.Harmonia.axyridis" "axyridis" "Coleoptera" 0.710376568306472 0.925665217962278 0.357947499442959 1.34576780195957 0.322303407920781
"16" "reznik. Sochi.Harmonia.axyridis" "axyridis" "Coleoptera" 0.369435210351229 0.683071269915047 0.0285884174905057 1.37098763124292 0.428347804117764
"17" "sadakiyo. Itakura.Acanthoscelides.pallidipennis" "pallidipennis" "Coleoptera" 0.858448908771906 0.925275900547049 0.788613469001311 0.75645636914818 0.0186766201959935
"18" "sadakiyo. Kobe.Acanthoscelides.pallidipennis" "pallidipennis" "Coleoptera" 0.901066498404542 0.946325740371937 0.836150712833421 0.757828459310766 0.0121385366931127
"19" "sadakiyo. Owani.Acanthoscelides.pallidipennis" "pallidipennis" "Coleoptera" 0.872340052400165 0.939330830427902 0.741990602953202 0.828908145688252 0.0389431653797664
"20" "schroeder. Kalix.Ips.typographus" "typographus" "Coleoptera" 0.165250519852547 0.221721023652703 0.111414498058495 1.54571323439832 0.0121675295886657
"21" "schroeder. Uppland.Ips.typographus" "typographus" "Coleoptera" 0.103401028370792 0.172499492268261 0.0568687846703163 0.71376045768124 0.0133704605396014
"22" "schroeder. Vindeln.Ips.typographus" "typographus" "Coleoptera" 0.373946580945817 0.542843404932417 0.251778897204047 1.03415437843884 0.0847185476591584
"23" "shintani. Komoro.Psacothea.hilaris" "hilaris" "Coleoptera" 0.82789558726311 0.93649594239028 0.653343179850495 0.838108378430943 0.0801754869339119
"24" "shintani. Matsumoto.Psacothea.hilaris" "hilaris" "Coleoptera" 0.839664330558406 0.958018877634596 0.668122882982476 0.904272694374373 0.084039687715342
"25" "shintani. Minakami.Psacothea.hilaris" "hilaris" "Coleoptera" 0.900273924413034 0.974143137746263 0.753911535423146 0.765628867706861 0.0485019586618076
"26" "shintani. Nirasaki1.Psacothea.hilaris" "hilaris" "Coleoptera" 0.787312654767322 0.935455263831525 0.519610162923494 0.831833553794845 0.17292714794921
"27" "shintani. Nirasaki2.Psacothea.hilaris" "hilaris" "Coleoptera" 0.840148774203072 0.961011649042311 0.67379073246223 0.831833553794845 0.0824958549211018
